nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,NLTD,THS,LV	26.0 	26.6 	26.9 	26.6 	22.2 	24.1 	23.5 	23.1 	20.9 	25.8 b
I,NLTD,THS,ME	7.0 	6.5 	7.4 	8.6 	8.0 	7.8 	8.4 	: 	: 	: 
I,NLTD,THS,MK	18.2 	15.5 	17.1 	14.0 	13.9 	15.7 	13.5 	: 	: 	: 
I,NLTD,THS,MT	14.2 	14.2 	12.2 	12.0 	13.3 	12.1 	10.9 	10.4 	10.5 	10.6 b
I,NLTD,THS,NL	160.0 	155.0 	155.5 	138.4 	139.9 b	164.6 	163.1 	162.6 b	161.4 	168.7 b
I,NLTD,THS,NO	61.4 	56.9 	62.9 	61.9 	54.8 	55.1 	55.4 	56.9 	57.1 	55.0 b
I,NLTD,THS,PL	172.4 	154.2 	143.4 	145.6 	159.8 	166.4 	157.9 	158.8 b	163.2 	149.3 b
I,NLTD,THS,PT	162.7 	139.6 	130.2 	138.6 	147.0 	150.5 	149.5 b	148.4 	148.9 	149.8 b
I,NLTD,THS,RO	189.8 	192.1 	170.6 	165.5 	158.6 	156.3 	155.8 	149.7 b	151.4 	138.3 b
I,NLTD,THS,SE	93.7 	93.1 	87.5 	80.1 	77.2 	74.2 	72.2 	73.5 	71.4 	72.2 b
I,NLTD,THS,SI	23.8 	19.9 	23.8 	23.2 	20.6 	21.7 	25.0 	26.5 	22.9 	25.3 b
I,NLTD,THS,SK	79.6 	79.7 	76.8 	84.9 	87.8 	78.7 	77.8 b	80.1 	80.7 b	84.4 b
I,NLTD,THS,TR	997.4 	975.0 	965.5 	863.3 b	869.9 	798.5 	738.0 	693.3 	682.6 	: 
I,NLTD,THS,UK	1419.1 	1374.0 	1324.5 	1308.8 	1229.0 	1210.1 	1192.2 	1158.5 	1131.7 	1030.7 b
I,TOTAL,THS,AT	225.1 	216.8 	201.6 	194.4 	199.8 	209.8 	202.3 	203.7 	207.7 	194.4 b
I,TOTAL,THS,BE	107.5 b	105.4 	97.5 	104.1 	98.0 	97.6 	100.3 	89.9 	91.6 	97.7 b
I,TOTAL,THS,BG	151.8 	140.5 	141.4 	137.2 	128.2 	135.8 	141.6 b	144.9 b	149.6 	148.3 b
I,TOTAL,THS,CH	156.7 	148.5 	160.0 	154.0 	154.4 	146.1 	153.9 	156.3 b	131.2 	127.9 b
I,TOTAL,THS,CY	31.4 	29.1 	25.8 	24.2 	25.2 	24.8 	22.5 	23.9 	23.0 b	20.8 b
I,TOTAL,THS,CZ	139.6 	144.2 	158.8 	161.2 	146.0 	142.4 	148.1 b	151.7 	151.5 	142.5 b
I,TOTAL,THS,DE	1353.4 	1353.2 	1311.5 	1286.9 	1270.1 	1254.8 	1219.0 	1174.6 b	1221.7 	1171.2 b
I,TOTAL,THS,DK	108.2 b	109.3 b	107.3 	94.1 	88.8 	86.3 	82.1 	78.1 	76.5 	75.9 b
I,TOTAL,THS,EA17	6127.0 	5939.3 	5641.3 	5352.7 	5245.6 	5289.9 	5240.2 	5143.3 	5177.3 	5129.6 b
