unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,WORLD,ED3_4,ES	23601434 	21840556 	20241628 	27906361 	28411655 	28691055 
NR,PERS,N1-3,WORLD,ED3_4,EU27	: 	: 	66900042 e	: 	63340635 e	65173575 e
NR,PERS,N1-3,WORLD,ED3_4,EU28	: 	: 	66818598 e	: 	66001878 e	67548780 e
NR,PERS,N1-3,WORLD,ED3_4,FI	9586012 	9597561 	9436701 	9236624 	9700338 	9572544 
NR,PERS,N1-3,WORLD,ED3_4,HR	: 	: 	: 	: 	2627102 	2341944 
NR,PERS,N1-3,WORLD,ED3_4,HU	4461697 	4290443 	4393757 	: 	: 	: 
NR,PERS,N1-3,WORLD,ED3_4,LU	: 	: 	: 	: 	: 	162815 
NR,PERS,N1-3,WORLD,ED3_4,LV	: 	1444773 	1393945 	1570310 	1613803 	1856075 
NR,PERS,N1-3,WORLD,ED3_4,MT	: 	164180 	127855 	124400 	: 	: 
NR,PERS,N1-3,WORLD,ED3_4,NL	8451507 	5954665 	6211558 	6299593 	6156396 	6943674 
NR,PERS,N1-3,WORLD,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,WORLD,ED3_4,PT	2794982 	2328103 	2170255 	: 	2047158 	1946093 
NR,PERS,N1-3,WORLD,ED3_4,RO	7628453 	7229869 	6962654 	7104722 	7099345 	: 
NR,PERS,N1-3,WORLD,ED3_4,SI	: 	1113528 	1101063 	1365936 	1342428 	1380945 
NR,PERS,N1-3,WORLD,ED5-8,AT	2891297 	2920959 	2699679 	2621996 	2628898 	2345686 
NR,PERS,N1-3,WORLD,ED5-8,EA	: 	: 	: 	: 	55861263 e	56539673 e
NR,PERS,N1-3,WORLD,ED5-8,EE	1301774 	1202130 	1138233 	1087555 	810296 	890516 
NR,PERS,N1-3,WORLD,ED5-8,ES	45839083 	43998642 	42407816 	27975914 	27722356 	27968390 
NR,PERS,N1-3,WORLD,ED5-8,EU27	: 	: 	88981559 e	: 	60252899 e	67365626 e
NR,PERS,N1-3,WORLD,ED5-8,EU28	: 	: 	88873233 e	: 	61435354 e	68460909 e
NR,PERS,N1-3,WORLD,ED5-8,FI	10442614 	10065066 	9430457 	9218804 	9502271 	9294291 
