unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,UNE,NL	135463 	189256 	136019 	168339 	172176 	139799 
NR,PERS,N1-3,OUT,UNE,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNE,PT	: c	42191 u	24028 u	: 	: u	: u
NR,PERS,N1-3,OUT,UNE,RO	: c	: u	: u	: 	: 	: 
NR,PERS,N1-3,OUT,UNE,SI	: 	51758 u	72156 u	40326 u	90419 	68320 
NR,PERS,N1-3,OUT,UNK,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,UNK,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,UNK,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,UNK,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,UNK,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,UNK,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,UNK,DK	: 	2507991 	2717992 	2599579 	2374379 b	1527244 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	27460947 e	26458242 e
NR,PERS,N1-3,OUT,UNK,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	46603888 e	: 	42929365 e	38852384 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	46547153 e	: 	43961152 e	39920151 e
NR,PERS,N1-3,OUT,UNK,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,UNK,HR	: 	640416 	: 	: 	1021039 	1054293 
NR,PERS,N1-3,OUT,UNK,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,UNK,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
NR,PERS,N1-3,OUT,UNK,IT	3068314 	2467363 	2570124 	2498814 b	2381599 	3371504 
NR,PERS,N1-3,OUT,UNK,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,UNK,LU	: 	453780 	552818 	603412 	491504 	: 
NR,PERS,N1-3,OUT,UNK,MT	102008 	: 	: 	57048 b	59273 	46841 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNK,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,UNK,PL	1947431 	1845190 	1776437 	1598368 b	1683933 	1700825 
NR,PERS,N1-3,OUT,UNK,PT	260458 	: 	: 	263395 	27961 u	: 
NR,PERS,N1-3,OUT,UNK,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	1277136 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UNK,SK	1043141 	746000 	497727 	674033 	320288 b	431300 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	7318438 	7065007 
NR,PERS,N1-3,WORLD,ACT_INAC,AT	9985891 	10100129 	9184641 	9559279 	9038213 	8595366 
NR,PERS,N1-3,WORLD,ACT_INAC,BE	5673199 b	5442459 	5268669 	4320681 	4295129 	3646602 
NR,PERS,N1-3,WORLD,ACT_INAC,BG	2915297 	1746019 	1555242 	2045795 	2039729 	2076532 
NR,PERS,N1-3,WORLD,ACT_INAC,CH	: 	7775806 	8419555 	7637876 	8436917 	7129625 
NR,PERS,N1-3,WORLD,ACT_INAC,CY	1402370 	1297550 	1239566 	1111090 	1051445 	1232492 
NR,PERS,N1-3,WORLD,ACT_INAC,CZ	21390393 	18977831 	17441143 	19708974 	18326261 	19679409 
NR,PERS,N1-3,WORLD,ACT_INAC,DE	93988468 	104198690 	104888560 	94029597 	102251230 	98784720 
NR,PERS,N1-3,WORLD,ACT_INAC,DK	: 	19908207 	22214379 	22110771 	21570785 b	18870153 
NR,PERS,N1-3,WORLD,ACT_INAC,EA	: 	: 	: 	: 	396644387 e	404436974 e
NR,PERS,N1-3,WORLD,ACT_INAC,EE	3018772 	2992551 	2515832 	2533287 	1781794 	1813285 
NR,PERS,N1-3,WORLD,ACT_INAC,EL	: 	1433087 	1579747 	1693928 	1425062 	2749255 
NR,PERS,N1-3,WORLD,ACT_INAC,ES	102557523 	95850185 	91367973 b	83086699 	84614036 	86453206 
