duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,PC_POP,WORLD,MT,2017	26.24 	: 	: 	: 
N1-3,PC_POP,WORLD,NL,2012	59.02 	46.43 	56.19 	70.43 
N1-3,PC_POP,WORLD,NL,2013	55.4 	43.16 	52.8 	66.36 
N1-3,PC_POP,WORLD,NL,2014	56.22 	45.07 	54.89 	64.74 
N1-3,PC_POP,WORLD,NL,2015	54.19 	40.49 	52.92 	64.08 
N1-3,PC_POP,WORLD,NL,2016	56.02 	46.12 	52.68 	64.41 
N1-3,PC_POP,WORLD,NL,2017	55.58 	44.15 	53.13 	67.92 
N1-3,PC_POP,WORLD,NO,2013	82.83 	: 	: 	: 
N1-3,PC_POP,WORLD,NO,2016	80.54 	: 	: 	: 
N1-3,PC_POP,WORLD,NO,2017	80.36 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2012	33.02 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2013	30.87 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2014	35.78 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2015	38.39 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2016	41.41 	: 	: 	: 
N1-3,PC_POP,WORLD,PL,2017	42.51 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2012	24.68 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2013	29 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2014	17.22 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2015	17.31 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2016	30.72 	: 	: 	: 
N1-3,PC_POP,WORLD,PT,2017	30.25 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2012	11.4 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2013	13.87 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2014	14.94 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2015	15.81 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2016	14.55 	: 	: 	: 
N1-3,PC_POP,WORLD,RO,2017	16.8 	: 	: 	: 
N1-3,PC_POP,WORLD,SE,2014	38.96 	: 	: 	: 
N1-3,PC_POP,WORLD,SE,2015	41.44 	: 	: 	: 
N1-3,PC_POP,WORLD,SE,2016	43.38 	: 	: 	: 
