accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,TOTAL,ES	3558650 	3515810 	3526937 	3482983 	3437362 	3414798 
BEDPL,NR,I551-I553,TOTAL,EU27	30686853 e	30332114 	30202104 	30053480 e	29792271 	28981722 
BEDPL,NR,I551-I553,TOTAL,EU28	31746845 e	31319386 	31140717 	30947307 e	30659381 	29780650 
BEDPL,NR,I551-I553,TOTAL,FI	258738 	252902 	252032 	250984 	254112 	246676 
BEDPL,NR,I551-I553,TOTAL,FR	: 	5133645 	5133314 	5109884 	5049726 	5013188 
BEDPL,NR,I551-I553,TOTAL,HR	1059992 	987272 	938613 	893827 	867110 	798928 b
BEDPL,NR,I551-I553,TOTAL,HU	418912 	446400 	440449 	435620 	422039 	382819 b
BEDPL,NR,I551-I553,TOTAL,IE	: 	199756 	199756 	205860 e	211034 e	219874 be
BEDPL,NR,I551-I553,TOTAL,IS	44508 	43623 	42177 	38674 	: 	: 
BEDPL,NR,I551-I553,TOTAL,IT	5037798 	4942512 	4879313 	4849432 	4728180 	4762601 
BEDPL,NR,I551-I553,TOTAL,LI	2378 	2434 	2041 	2011 	: 	: 
BEDPL,NR,I551-I553,TOTAL,LT	80766 	77024 	73762 	72926 	69287 	67250 b
BEDPL,NR,I551-I553,TOTAL,LU	63612 	63862 	64011 	64858 	66747 	68159 b
BEDPL,NR,I551-I553,TOTAL,LV	53066 	47083 	41811 	39074 	38400 	36901 b
BEDPL,NR,I551-I553,TOTAL,ME	43061 b	153424 	: 	: 	: 	149348 b
BEDPL,NR,I551-I553,TOTAL,MK	46446 	45377 	44270 	43432 	42542 	42119 
BEDPL,NR,I551-I553,TOTAL,MT	44631 	43379 	42883 	41873 	43360 	40463 
BEDPL,NR,I551-I553,TOTAL,NL	1377631 	1369903 	1371951 	1373588 	1404852 b	1213412 
BEDPL,NR,I551-I553,TOTAL,NO	568297 	542394 	547568 	575295 	573070 	516243 
BEDPL,NR,I551-I553,TOTAL,PL	773957 	749191 	710274 	694023 	679445 	675433 
BEDPL,NR,I551-I553,TOTAL,PT	620175 	567772 	551687 	519871 	491099 	486512 
BEDPL,NR,I551-I553,TOTAL,RO	338791 	326098 	325841 	308997 	303236 	285488 b
BEDPL,NR,I551-I553,TOTAL,RS	: 	: 	: 	102420 	101729 	107962 
BEDPL,NR,I551-I553,TOTAL,SE	806178 	801695 	799025 	805287 	805033 	792864 
BEDPL,NR,I551-I553,TOTAL,SI	117137 u	113157 u	109596 u	106557 	105559 	105500 b
BEDPL,NR,I551-I553,TOTAL,SK	185771 	183903 	189634 	183404 	190306 	193369 
BEDPL,NR,I551-I553,TOTAL,UK	: 	3943507 	3946159 	: 	4001019 	3464423 b
BEDPL,NR,I551-I553,TOTAL,XK	8433 u	: 	: 	: 	: 	: 
BEDPL,NR,I552,CST_A,AT	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,CST_A,BE	18419 	18429 	19714 	29984 	29870 	30036 
BEDPL,NR,I552,CST_A,BG	33454 	23805 	22776 	21895 	20755 	20357 
BEDPL,NR,I552,CST_A,CH	: 	0 	: 	: 	: 	: 
BEDPL,NR,I552,CST_A,CY	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,CST_A,CZ	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I552,CST_A,DE	217629 	210390 	208237 	211436 	215616 	217205 
BEDPL,NR,I552,CST_A,DK	51487 	50155 	48090 	48501 	48590 	48430 
BEDPL,NR,I552,CST_A,EA	2647291 e	2488076 	2450129 	: 	: 	: 
BEDPL,NR,I552,CST_A,EE	14080 	13733 	12940 	12535 	11776 	10548 
BEDPL,NR,I552,CST_A,EL	379118 e	335830 e	335330 e	333168 e	332170 	331437 e
BEDPL,NR,I552,CST_A,ES	602676 	595496 	601342 	598435 	586169 	585700 
BEDPL,NR,I552,CST_A,EU27	3272627 e	3091807 	3045910 	3026080 e	2987711 	2959208 e
BEDPL,NR,I552,CST_A,EU28	3862718 e	3619340 	3543329 	3495568 e	3423382 	3356786 e
BEDPL,NR,I552,CST_A,FI	8646 	7384 	7716 	6715 	6717 	5919 
BEDPL,NR,I552,CST_A,FR	: 	376224 	382049 	388754 	386689 	376935 
BEDPL,NR,I552,CST_A,HR	590091 	527533 	497419 	469488 	435671 	397040 
BEDPL,NR,I552,CST_A,HU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,CST_A,IE	: 	17705 	17705 	19651 e	20423 	: 
BEDPL,NR,I552,CST_A,IS	11759 	11981 	12318 	11927 	10300 	7164 
BEDPL,NR,I552,CST_A,IT	825250 	743507 	714802 	675520 	658282 	657530 
BEDPL,NR,I552,CST_A,LI	0 	0 	0 	0 	: 	: 
BEDPL,NR,I552,CST_A,LT	14723 	14279 	12718 	12987 	12138 	11662 
BEDPL,NR,I552,CST_A,LU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,CST_A,LV	8212 	6798 	5081 	4154 	4585 	4275 
BEDPL,NR,I552,CST_A,ME	: 	113657 	: 	: 	: 	110366 
BEDPL,NR,I552,CST_A,MK	0 	0 	0 	0 	: 	: 
BEDPL,NR,I552,CST_A,MT	1658 	1695 	1600 	1651 	1734 	1199 
BEDPL,NR,I552,CST_A,NL	117057 	113128 	114558 	114287 	107445 b	96840 
BEDPL,NR,I552,CST_A,NO	25424 	25683 	26652 	27117 	22251 	8556 
BEDPL,NR,I552,CST_A,PL	146436 	137099 	130628 	130554 	129776 	126617 
BEDPL,NR,I552,CST_A,PT	38569 	26356 	9353 	12174 	12174 b	5839 
BEDPL,NR,I552,CST_A,RO	7813 	7080 	3770 	6535 	6629 	6618 
BEDPL,NR,I552,CST_A,RS	: 	: 	: 	0 	: 	: 
BEDPL,NR,I552,CST_A,SE	31057 	30503 	34616 	36871 	35638 	33454 
BEDPL,NR,I552,CST_A,SI	7325 u	7122 u	6984 u	6866 	7128 	7065 
BEDPL,NR,I552,CST_A,SK	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,CST_A,UK	: 	355089 	355901 	: 	353407 	351655 
BEDPL,NR,I552,CST_A,XK	0 u	: 	: 	: 	: 	: 
BEDPL,NR,I552,NCST_A,AT	211327 	206659 	201393 	201376 	193826 	191264 
BEDPL,NR,I552,NCST_A,BE	137850 	133330 	128227 	119832 	117842 	115272 
BEDPL,NR,I552,NCST_A,BG	21096 	21792 	20259 	20206 	18678 	18831 
BEDPL,NR,I552,NCST_A,CH	: 	286253 	: 	: 	: 	: 
BEDPL,NR,I552,NCST_A,CY	0 	0 	0 	0 	0 	0 
BEDPL,NR,I552,NCST_A,CZ	175954 	182709 	182634 	181562 	205176 	209501 b
BEDPL,NR,I552,NCST_A,DE	464828 	461987 	467685 	471442 	469717 	468719 
BEDPL,NR,I552,NCST_A,DK	7593 	7444 	7542 	7503 	7489 	7452 
BEDPL,NR,I552,NCST_A,EA	2964656 e	2905537 	2841097 	: 	: 	: 
BEDPL,NR,I552,NCST_A,EE	13352 	13334 	12512 	13123 	11717 	10841 
BEDPL,NR,I552,NCST_A,EL	18342 e	24012 e	23683 e	22181 e	21939 	21876 e
BEDPL,NR,I552,NCST_A,ES	259958 	249028 	243899 	238027 	210064 	201497 
BEDPL,NR,I552,NCST_A,EU27	3969418 e	3902590 	3815922 	3747400 e	3694321 	3592566 e
BEDPL,NR,I552,NCST_A,EU28	4015869 e	3944493 	3847789 	3774188 e	3719507 	3609314 e
BEDPL,NR,I552,NCST_A,FI	34096 	32195 	31228 	30896 	29972 	26732 
BEDPL,NR,I552,NCST_A,FR	: 	604793 	612105 	623594 	619055 	597059 
BEDPL,NR,I552,NCST_A,HR	46451 	41903 	31867 	26788 	25186 	20318 
BEDPL,NR,I552,NCST_A,HU	149754 	146832 	143479 	140158 	127330 	120685 
BEDPL,NR,I552,NCST_A,IE	: 	8357 	8357 	10058 e	10058 	: 
BEDPL,NR,I552,NCST_A,IS	2041 	2239 	1687 	1724 	1435 	596 
BEDPL,NR,I552,NCST_A,IT	797654 	775959 	731777 	702175 	677931 	661937 
BEDPL,NR,I552,NCST_A,LI	582 	570 	580 	519 	: 	: 
BEDPL,NR,I552,NCST_A,LT	33738 	31201 	29863 	28931 	26675 	25639 
BEDPL,NR,I552,NCST_A,LU	3697 	3797 	4042 	4020 	4623 	4787 
BEDPL,NR,I552,NCST_A,LV	11193 	7826 	6908 	4509 	4515 	4526 
