accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PCH_PRE,LT25,UK	: 	-37.72 	5.27 	: 	: 	: 
BEDPL,PCH_PRE,TOTAL,AT	1.24 	0.27 	0.27 	-0.5 	1.12 	0.1 
BEDPL,PCH_PRE,TOTAL,BE	0.17 	-0.06 	1.15 	-0.63 	0 	-1.5 
BEDPL,PCH_PRE,TOTAL,BG	4.12 	1 	2.79 	3.56 	0.4 	8.1 
BEDPL,PCH_PRE,TOTAL,CH	: 	-0.66 	0.32 	0.49 	0 	-1 
BEDPL,PCH_PRE,TOTAL,CY	2.07 	-1.39 	-0.85 	0.51 	0.59 	1.2 
BEDPL,PCH_PRE,TOTAL,CZ	-0.12 	1.13 	2.54 	-3.6 	-0.6 	22.1 b
BEDPL,PCH_PRE,TOTAL,DE	1.51 	0.36 	0.82 	0.35 	0.4 	0.1 
BEDPL,PCH_PRE,TOTAL,DK	3.19 	1.27 	-1.17 	3.79 	-0.3 	0.4 
BEDPL,PCH_PRE,TOTAL,EA	0.92 e	0.13 	1.2 	: 	: 	: 
BEDPL,PCH_PRE,TOTAL,EE	5.38 	-0.66 	0.56 	1.4 	1.3 	0.8 
BEDPL,PCH_PRE,TOTAL,EL	-0.44 	-0.47 	0.22 	3.46 	0.27 	1 
BEDPL,PCH_PRE,TOTAL,ES	1.19 	-0.67 	1.65 	0.43 	0.5 	1.1 
BEDPL,PCH_PRE,TOTAL,EU27	: u	0.28 	1.12 	0.65 e	4 	2.4 
BEDPL,PCH_PRE,TOTAL,EU28	: u	0.29 	1.13 	0.64 e	3.99 	2.3 
BEDPL,PCH_PRE,TOTAL,FI	3.64 	0.8 	0.24 	-2.27 	1.2 	10.7 
BEDPL,PCH_PRE,TOTAL,FR	: 	0.59 	2.34 	1.27 	0.8 	0 
BEDPL,PCH_PRE,TOTAL,HR	-0.53 	1.64 	1.73 	-0.05 	3.3 	1.3 b
BEDPL,PCH_PRE,TOTAL,HU	-0.09 	2.38 	1.88 	0.44 	1.5 	7.6 
BEDPL,PCH_PRE,TOTAL,IE	: 	0 	-0.78 	-2.83 	-3.4 	-3.5 b
BEDPL,PCH_PRE,TOTAL,IS	4.44 	4.37 	12.58 	10.42 	4.2 	4.3 
BEDPL,PCH_PRE,TOTAL,IT	-0.39 	-0.12 	0.43 	0.33 	-0.8 	-0.1 
BEDPL,PCH_PRE,TOTAL,LI	-3.86 	32.06 	-2.41 	3.95 	-1.8 	12.6 
BEDPL,PCH_PRE,TOTAL,LT	0.92 	0.28 	0.44 	2.4 	1.2 	5.1 
BEDPL,PCH_PRE,TOTAL,LU	-0.93 	7.89 	-1.66 	-1.6 	-2.9 	-3 b
BEDPL,PCH_PRE,TOTAL,LV	1.66 	3.02 	: c	0.83 	3.8 	-19.6 b
BEDPL,PCH_PRE,TOTAL,ME	2.29 	: 	: 	: 	: 	: 
BEDPL,PCH_PRE,TOTAL,MK	4.77 	7.75 	8.83 	5.99 	5.9 	6.6 
BEDPL,PCH_PRE,TOTAL,MT	3.09 	0.97 	2.64 	-3.37 	6 	2.5 
BEDPL,PCH_PRE,TOTAL,NL	3.42 	2.58 	0.98 	3.26 	7.9 	5.8 
BEDPL,PCH_PRE,TOTAL,NO	0.16 	2.19 	-0.82 	-0.96 	0.3 	4.8 
BEDPL,PCH_PRE,TOTAL,PL	3.11 	8.03 	3.09 	6.64 	3.8 	4.6 
BEDPL,PCH_PRE,TOTAL,PT	7.69 	2.74 	5.89 	0 	4.6 	2.5 
BEDPL,PCH_PRE,TOTAL,RO	2.86 	-5.15 	3.45 	1.44 	1 	-14.5 b
BEDPL,PCH_PRE,TOTAL,RS	: 	: 	: 	-2.97 	10.3 	: 
BEDPL,PCH_PRE,TOTAL,SE	2.11 	1.83 	-0.96 	1.31 	3.2 	1.4 
BEDPL,PCH_PRE,TOTAL,SI	2.02 	0.98 	1.59 	0.21 	-0.1 	-0.4 
BEDPL,PCH_PRE,TOTAL,SK	1.05 	-1.26 	5.82 	-0.65 	-0.6 	23.3 
BEDPL,PCH_PRE,TOTAL,TR	3.91 	: 	: 	7.58 	: 	: 
BEDPL,PCH_PRE,TOTAL,UK	: 	-0.22 	0.59 	: 	28.45 	11.4 b
BEDRM,NR,100-249,BG	27710 	28001 	25784 	25339 	24703 	24109 
BEDRM,NR,100-249,CY	19312 	19148 	19646 	19647 	: 	: 
BEDRM,NR,100-249,CZ	23097 	22736 	22909 	23119 	23599 	22310 b
BEDRM,NR,100-249,DE	237825 	229392 	223105 	214874 	208991 	204179 
BEDRM,NR,100-249,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,100-249,EL	88758 	88874 	88817 	88955 	86489 	86355 
BEDRM,NR,100-249,ES	279237 	278103 	278790 	277132 	275836 	274761 
BEDRM,NR,100-249,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,100-249,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,100-249,HR	31890 	31030 	31390 	30933 	30940 	30894 
BEDRM,NR,100-249,HU	19486 	19223 	18479 	18431 	: 	: 
BEDRM,NR,100-249,IS	3440 	3103 	2135 	4496 	4029 	: 
BEDRM,NR,100-249,LT	4098 	4085 	3850 	3881 	3658 	3642 
