accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,DEG2,RO	125972 	124288 	124238 	121389 	120432 	110710 
BEDPL,NR,I551-I553,DEG2,SE	197171 	196979 	198849 	200764 	200118 	196753 
BEDPL,NR,I551-I553,DEG2,SI	46011 u	44870 u	43653 u	38238 	38084 	37642 
BEDPL,NR,I551-I553,DEG2,SK	: c	56533 	58887 	: c	59644 	61713 
BEDPL,NR,I551-I553,DEG2,UK	: 	1540700 	1541265 	: 	1540829 	1450225 
BEDPL,NR,I551-I553,DEG2,XK	2865 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG3,AT	712921 	712092 	708407 	719949 	716703 	719952 
BEDPL,NR,I551-I553,DEG3,BE	128368 	127107 	125934 	122128 	127134 	127782 
BEDPL,NR,I551-I553,DEG3,BG	104516 	113671 	105061 	105621 	99049 	96296 
BEDPL,NR,I551-I553,DEG3,CH	: 	416103 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG3,CY	34741 	34490 	34594 	36256 	36089 	35774 
BEDPL,NR,I551-I553,DEG3,CZ	418020 	429257 	430374 	428634 	444095 	450389 b
BEDPL,NR,I551-I553,DEG3,DE	1433613 	1427732 	1436902 	1439364 	1461096 	1472455 
BEDPL,NR,I551-I553,DEG3,DK	307799 	305596 	304799 	308397 	308861 	310375 
BEDPL,NR,I551-I553,DEG3,EA	10115572 e	11124757 	11119002 	: 	: 	: 
BEDPL,NR,I551-I553,DEG3,EE	28035 	29616 	28492 	29095 	27767 	25496 
BEDPL,NR,I551-I553,DEG3,EL	957003 e	938703 e	941524 e	937177 e	916566 	915105 e
BEDPL,NR,I551-I553,DEG3,ES	862292 	1471316 	1477999 	1457210 	1435228 	1422192 
BEDPL,NR,I551-I553,DEG3,EU27	12755941 e	13840343 	13805735 	13738662 e	13632902 	13610996 e
BEDPL,NR,I551-I553,DEG3,EU28	13485352 e	14526270 	14453419 	14367710 e	14253361 	14180739 e
BEDPL,NR,I551-I553,DEG3,FI	142855 	141685 	141985 	141387 	142676 	144465 
BEDPL,NR,I551-I553,DEG3,FR	: 	2902813 	2905352 	2890442 	2843876 	2828383 
BEDPL,NR,I551-I553,DEG3,HR	729411 	685927 	647684 	629048 	620459 	578680 
BEDPL,NR,I551-I553,DEG3,HU	157009 	204651 	202879 	199980 	197085 	227846 
BEDPL,NR,I551-I553,DEG3,IE	: 	86723 	86723 	90362 e	91960 	: 
BEDPL,NR,I551-I553,DEG3,IS	20430 	20327 	19849 	19318 	: 	: 
BEDPL,NR,I551-I553,DEG3,IT	1786575 	2236601 	2223472 	2195192 	2143824 	2186437 
BEDPL,NR,I551-I553,DEG3,LI	0 	0 	0 	0 	: 	: 
