unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,R_HOT,DK	: 	269908.14 	172579.4 	153486.56 b	142661.73 b	52500.8 
THS_EUR,PERS,N1-3,DOM,R_HOT,EA	: 	: 	: 	7677215.43 e	8293251.97 e	8137958.62 e
THS_EUR,PERS,N1-3,DOM,R_HOT,EE	28836.47 	28546.5 	20505.91 	18859.67 	11158.36 	13095.94 
THS_EUR,PERS,N1-3,DOM,R_HOT,EL	: 	26096.31 	28069.64 	26289.34 	21920.32 	28665.03 
THS_EUR,PERS,N1-3,DOM,R_HOT,ES	1324232.23 	1244498.4 	1241393.29 b	765310.55 	683320.82 	615270.86 
THS_EUR,PERS,N1-3,DOM,R_HOT,EU27	: 	: 	11304124.48 e	9863570.25 e	12119292.89 e	11959422.86 e
THS_EUR,PERS,N1-3,DOM,R_HOT,EU28	: 	: 	11305469.48 e	9875951.55 e	12144318.05 e	11980550.31 e
THS_EUR,PERS,N1-3,DOM,R_HOT,FI	403910.39 	373806.96 	371545.81 	351619.09 	374297.12 	413423.09 
THS_EUR,PERS,N1-3,DOM,R_HOT,FR	1637363.94 	1224464.85 	1163720.47 	1258169.66 	1236350.21 	1232275.68 
THS_EUR,PERS,N1-3,DOM,R_HOT,HR	16304.25 	: 	13206.13 	21320.94 	26496.04 	22635.69 
THS_EUR,PERS,N1-3,DOM,R_HOT,HU	234740.57 	184477.79 	169114.54 	149726.68 	116273.24 	131594.31 
THS_EUR,PERS,N1-3,DOM,R_HOT,IE	352324.7 	313489.38 	289309.98 	243841 	233673.44 	228890.66 
THS_EUR,PERS,N1-3,DOM,R_HOT,IT	752422.05 	915084.33 	727810.59 	610430.97 b	639239.99 	875940.22 
THS_EUR,PERS,N1-3,DOM,R_HOT,LT	40950.4 	34165.65 	31744.22 	20958.87 	13899.05 	17638.13 
THS_EUR,PERS,N1-3,DOM,R_HOT,LU	: 	: u	1046.42 u	901.76 u	: u	888 u
THS_EUR,PERS,N1-3,DOM,R_HOT,LV	: 	5767.29 	6074.65 	6180.39 	5716.87 	5610.91 
THS_EUR,PERS,N1-3,DOM,R_HOT,MT	5854.9 	5007.43 	4301.55 	4495.84 b	2632.96 u	6260.59 
THS_EUR,PERS,N1-3,DOM,R_HOT,NL	: 	301250.65 	263700.89 	246754.83 	261471.87 	272848.14 
THS_EUR,PERS,N1-3,DOM,R_HOT,NO	299682.71 	207368.63 	216356.29 	253754.93 	217582.56 	: 
THS_EUR,PERS,N1-3,DOM,R_HOT,PL	199107.29 	155238.35 	126339.49 	94243.92 b	350476.07 	303200.23 
THS_EUR,PERS,N1-3,DOM,R_HOT,PT	75667.25 	59929.8 	68174.57 	52814.3 	28901.06 	47407.5 
THS_EUR,PERS,N1-3,DOM,R_HOT,RO	44252.47 	43383.72 	36813.24 	27386.31 	28459.45 	46136.29 
THS_EUR,PERS,N1-3,DOM,R_HOT,SE	: 	614036.04 	553588.51 	413373.39 	: 	: 
THS_EUR,PERS,N1-3,DOM,R_HOT,SI	25422.87 	24083.79 	20323.96 	23067.76 	19113.87 	17536.31 
THS_EUR,PERS,N1-3,DOM,R_HOT,SK	125198.17 	70023.34 	49835.87 	35793.74 	37830.51 b	43554.36 
THS_EUR,PERS,N1-3,DOM,R_HOT,UK	: 	: 	: 	: 	2876052.22 	: u
THS_EUR,PERS,N1-3,DOM,R_OTH,AT	96212.42 	101749.74 	96825.37 	88643.71 	78170.96 	105615.07 
THS_EUR,PERS,N1-3,DOM,R_OTH,BE	50273.38 b	31630 	52922.02 	34401.12 	35456.43 	33104.43 
THS_EUR,PERS,N1-3,DOM,R_OTH,BG	7963.06 	5124.48 	5105.34 	7456.59 	4485.04 	1757.28 
THS_EUR,PERS,N1-3,DOM,R_OTH,CH	: 	32612.18 	40042.74 	41242.14 	31886.73 	34313.94 
THS_EUR,PERS,N1-3,DOM,R_OTH,CY	243.63 	205.54 	151.42 	75.65 u	71.16 b	8777.42 
THS_EUR,PERS,N1-3,DOM,R_OTH,CZ	24421.63 	24395.14 	15482.27 	15871.89 	16732.05 	17786.32 
THS_EUR,PERS,N1-3,DOM,R_OTH,DE	439736.63 	360000.75 	357169.36 	314860.14 	465323.99 	343430.81 
THS_EUR,PERS,N1-3,DOM,R_OTH,DK	: 	52353.46 	51101.99 	74934.34 b	43064.92 b	22657.32 
THS_EUR,PERS,N1-3,DOM,R_OTH,EA	: 	: 	: 	1578992.97 e	1677324.03 e	1549897.22 e
THS_EUR,PERS,N1-3,DOM,R_OTH,EE	12226.49 	12587.35 	10566.66 	3038.76 	3556.34 	2567.12 u
THS_EUR,PERS,N1-3,DOM,R_OTH,EL	: 	8468.65 	7785.24 	7973.43 	6899.27 	20060.72 
THS_EUR,PERS,N1-3,DOM,R_OTH,ES	521080.95 	393237.97 	337960.67 b	78728.01 	67220.69 	56174.66 
THS_EUR,PERS,N1-3,DOM,R_OTH,EU27	: 	: 	2600746.13 e	2082217.45 e	2495130.9 e	2272306.93 e
THS_EUR,PERS,N1-3,DOM,R_OTH,EU28	: 	: 	2604100.61 e	2090523.05 e	2504631.19 e	2285150.52 e
THS_EUR,PERS,N1-3,DOM,R_OTH,FI	82071.22 	75223.53 	69038.54 	80782.31 	99063.24 	80739.51 
THS_EUR,PERS,N1-3,DOM,R_OTH,FR	772730.26 	616225.31 	574907.53 	601073.92 	546891.5 	528698.77 
THS_EUR,PERS,N1-3,DOM,R_OTH,HR	11135.6 	: 	5700.31 	9476.72 	9720.84 	12963.85 
THS_EUR,PERS,N1-3,DOM,R_OTH,HU	11269.08 	10979.69 	9570.11 	7923.06 	7030.75 	10120.86 
THS_EUR,PERS,N1-3,DOM,R_OTH,IE	38307.1 	36915.06 	30329.44 	22490.79 	17176.82 	16495.31 
THS_EUR,PERS,N1-3,DOM,R_OTH,IT	356690.09 	324139.99 	272231.01 	203634.29 b	183299.88 	180320.33 
THS_EUR,PERS,N1-3,DOM,R_OTH,LT	9065.13 	8975.54 	3493.83 	5437.43 	4123.14 	5509.26 
THS_EUR,PERS,N1-3,DOM,R_OTH,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,R_OTH,LV	: 	: c	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,R_OTH,MT	4610.34 	4363.36 	3831.45 	3933.48 b	3114.63 	3252.73 u
THS_EUR,PERS,N1-3,DOM,R_OTH,NL	: 	180973.64 	161745.85 	118426.6 	135190.09 	147274.68 
THS_EUR,PERS,N1-3,DOM,R_OTH,NO	66501.91 	68018.63 	67191.88 	65826.9 	65023.36 	: 
THS_EUR,PERS,N1-3,DOM,R_OTH,PL	92948.69 	86287.75 	61187.13 	51624.92 b	247573.84 	146568.13 
THS_EUR,PERS,N1-3,DOM,R_OTH,PT	13505.6 	12470.8 	5418.83 	4022.13 	8107 	1585.18 
THS_EUR,PERS,N1-3,DOM,R_OTH,RO	45309.06 	43834.74 	36915.2 	31765.3 	26345.96 	: u
THS_EUR,PERS,N1-3,DOM,R_OTH,SE	: 	98537.25 	73123.18 	43779.49 	: 	: 
THS_EUR,PERS,N1-3,DOM,R_OTH,SI	9954.06 	9743.38 	9539.87 	9292.47 	7477.26 	8187.18 
