unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TRA,BG	45059.9 	31148.87 	30343.6 	55359.02 	46571.05 	43801.03 
THS_EUR,PERS,N1-3,DOM,TRA,CH	: 	118944.89 	120249.82 	132256.62 	141567.77 	123727.08 
THS_EUR,PERS,N1-3,DOM,TRA,CY	16516.59 	15104.96 	22551.91 	20978.69 	18545.16 	25051.63 
THS_EUR,PERS,N1-3,DOM,TRA,CZ	179677.19 	155293.56 	142401.54 	165554.98 	154325.15 	160636.92 
THS_EUR,PERS,N1-3,DOM,TRA,DE	4475441.53 	4679568.74 	4862199.55 	4702603.45 	5324163.83 	5221603.08 
THS_EUR,PERS,N1-3,DOM,TRA,DK	: 	1144817.06 	1090399.88 	1442441.03 b	1151424.23 b	559160.88 
THS_EUR,PERS,N1-3,DOM,TRA,EA	: 	: 	: 	13542447.81 e	14008254.12 e	14247957.69 e
THS_EUR,PERS,N1-3,DOM,TRA,EE	51301.77 	51540 	52775.3 	43109.65 	30034.29 	27557.45 
THS_EUR,PERS,N1-3,DOM,TRA,EL	: 	57618.09 	61263.97 	68462.06 	57060.37 	97398.39 
THS_EUR,PERS,N1-3,DOM,TRA,ES	2599161.52 	2379226.22 	2499062.45 b	1664788.38 	1657179.24 	1516959.82 
THS_EUR,PERS,N1-3,DOM,TRA,EU27	: 	: 	19179799.39 e	18685165.77 e	19654035.61 e	19465575.06 e
THS_EUR,PERS,N1-3,DOM,TRA,EU28	: 	: 	19225181.59 e	18756217.56 e	19747601.61 e	19566307.19 e
THS_EUR,PERS,N1-3,DOM,TRA,FI	848154.72 	810716.06 	882030.35 	889240.97 	961134.06 	1022274.5 
THS_EUR,PERS,N1-3,DOM,TRA,FR	4356984.73 	3446956.26 	3644821.51 	4091257.44 	4049704.81 	4153772.83 
THS_EUR,PERS,N1-3,DOM,TRA,HR	48611.29 	45633.67 	60085.01 	81998.91 	94948.94 	101937.3 
THS_EUR,PERS,N1-3,DOM,TRA,HU	116013.78 	105625.13 	106521.5 	109174.38 	99823.45 	118323.16 
