unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,ASI_OTH,HU	507.23 u	849.05 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,IE	: 	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LT	: 	: u	: u	838.43 u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,NL	: c	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,RO	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,UK	: 	: 	: 	: 	5523.58 u	: u
THS_EUR,PERS,N1-3,AT,AT	736740.54 	740867.09 	645077.93 	612039.24 	626709.46 	766765.84 
THS_EUR,PERS,N1-3,AT,BE	: u	4508.7 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,BG	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AT,CH	: 	65693.04 u	75664.51 	43721.94 	91055.22 u	53033.99 u
THS_EUR,PERS,N1-3,AT,CY	: c	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,CZ	11614.97 	11606.69 	11614.67 	13399.13 	12682.09 	10208.42 
THS_EUR,PERS,N1-3,AT,DE	426407.85 	425889.74 	449752.73 	363401.09 	437348.18 	437772.35 
THS_EUR,PERS,N1-3,AT,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,EE	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,EL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,EU27	: 	: 	1366070.92 e	: 	: 	: 
THS_EUR,PERS,N1-3,AT,EU28	: 	: 	1375143.51 e	: 	: 	: 
THS_EUR,PERS,N1-3,AT,FI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,FR	13295.04 u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,HR	7302.23 	5651.86 	9385.07 	7376.19 	5752.64 	9193.06 u
THS_EUR,PERS,N1-3,AT,HU	14757.72 	12333.18 	7770.83 	9878.26 	8884.82 	6812.36 
THS_EUR,PERS,N1-3,AT,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,IT	40378.08 u	: u	: u	: u	13808.58 u	44870.21 
THS_EUR,PERS,N1-3,AT,LT	730.06 u	804.75 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,LU	: 	1603.08 u	2426.86 u	2621.45 u	1171.58 u	1521.85 u
THS_EUR,PERS,N1-3,AT,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,MT	: c	: c	: c	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NL	11017.9 u	6004.9 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NO	: u	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AT,PL	2851.77 	4383.19 	4848.1 	3793.23 b	: u	: u
THS_EUR,PERS,N1-3,AT,PT	: c	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AT,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,SI	6759.41 	4432.29 	5163.58 	2722.44 	5319.24 	2350.45 
THS_EUR,PERS,N1-3,AT,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,UK	: 	: 	: 	: 	12660.99 	: u
THS_EUR,PERS,N1-3,AU,AT	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,EU27	: 	: 	135.79 e	: 	: 	: 
THS_EUR,PERS,N1-3,AU,EU28	: 	: 	135.63 e	: 	: 	: 
THS_EUR,PERS,N1-3,AU,HR	: u	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AU,IE	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AU,LT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AU,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,NO	: u	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,PL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AU,PT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AU,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,UK	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BE,AT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,BE	166215.8 b	110228.23 	153056.87 	99852.05 	124368.6 	106618.05 
THS_EUR,PERS,N1-3,BE,BG	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BE,CH	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CY	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CZ	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,DE	: c	: u	: u	: u	69923.28 u	: u
THS_EUR,PERS,N1-3,BE,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,EE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,EL	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,ES	10368.78 u	7785.92 u	4697.27 bu	7202.86 u	5094.57 	5196.27 u
THS_EUR,PERS,N1-3,BE,EU27	: 	: 	378606.1 e	: 	: 	: 
THS_EUR,PERS,N1-3,BE,EU28	: 	: 	378145.18 e	: 	: 	: 
THS_EUR,PERS,N1-3,BE,FI	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,FR	47885.6 	52149.29 	53928.26 	62745.05 	43037.5 	42199.73 
THS_EUR,PERS,N1-3,BE,HR	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,HU	1683.92 u	1261.4 u	1483.5 u	670.47 u	340.14 u	633.18 u
THS_EUR,PERS,N1-3,BE,IE	3106.04 u	5203.32 u	4301.44 u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,IT	: u	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LT	: c	: u	425.64 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LU	: 	4516.45 	7921.32 	5677.45 	4252.75 	4113.91 
THS_EUR,PERS,N1-3,BE,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,MT	: c	: c	: c	: u	145.05 u	155.27 u
THS_EUR,PERS,N1-3,BE,NL	58935.51 	36340.01 	41865.36 	45457.36 	56611.95 	59042 
THS_EUR,PERS,N1-3,BE,NO	: u	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,PL	1156 u	782.88 u	3917.38 u	1097.11 bu	: u	: u
THS_EUR,PERS,N1-3,BE,PT	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,BE,RO	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BE,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,SK	: c	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BE,UK	: 	: 	: 	: 	85654.3 	: u
THS_EUR,PERS,N1-3,BG,AT	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,BE	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,BG	33527.86 	21548.81 	19394.97 	27109.89 	20854.68 	17580.45 
THS_EUR,PERS,N1-3,BG,CY	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,CZ	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DE	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DK	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BG,EL	: 	1115.21 u	512.1 u	807.39 u	: u	: u
THS_EUR,PERS,N1-3,BG,ES	: c	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,BG,EU27	: 	: 	29489.7 e	: 	: 	: 
THS_EUR,PERS,N1-3,BG,EU28	: 	: 	29453.8 e	: 	: 	: 
THS_EUR,PERS,N1-3,BG,FR	: u	: u	: 	: u	: 	: u
THS_EUR,PERS,N1-3,BG,HR	: u	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,BG,HU	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,IE	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,LT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,LU	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,LV	: 	: c	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,MT	: 	: c	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NL	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NO	: u	: u	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,PL	: 	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,PT	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,RO	1344.6 u	: u	: u	: u	2429.04 u	: u
THS_EUR,PERS,N1-3,BG,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BG,SI	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,UK	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BR,ES	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BR,EU27	: 	: 	0 e	: 	: 	: 
THS_EUR,PERS,N1-3,BR,EU28	: 	: 	0 e	: 	: 	: 
THS_EUR,PERS,N1-3,BR,LU	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BR,NL	: c	: 	: 	: 	: 	: 
