unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AU,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,NO	: u	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,PL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AU,PT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AU,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,UK	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BE,AT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,BE	48694.32 b	35132.54 	41698.91 	35552.47 	40153.38 	39842.79 
THS_EUR,PERS,N1-3,BE,BG	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BE,CH	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CY	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CZ	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,DE	: c	: u	: u	: u	62747.95 u	: u
THS_EUR,PERS,N1-3,BE,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,EE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,EL	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,ES	14414.84 u	11510.41 u	8518.78 bu	6426.35 u	5426.46 	4455.34 u
THS_EUR,PERS,N1-3,BE,FI	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,FR	71514.3 	54723.5 	74341.24 	80827.7 	76616.74 	54408.68 
THS_EUR,PERS,N1-3,BE,HR	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,HU	1690.57 u	1171.57 u	1325.44 u	602.34 u	112.35 u	209.75 u
THS_EUR,PERS,N1-3,BE,IE	4838.54 u	7933.57 u	5937.25 u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,IT	: u	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LT	: c	: u	529.67 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LU	: 	3271.85 	5065.54 	7706.96 	3413.84 	4089.4 
THS_EUR,PERS,N1-3,BE,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,MT	: c	: u	: c	: u	272.07 u	257.78 u
THS_EUR,PERS,N1-3,BE,NL	40902 	15428.58 	18848.12 	19027.99 	24456.46 	24686.23 
THS_EUR,PERS,N1-3,BE,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,PL	2445.26 u	1787.2 u	4326.34 u	1727.39 bu	: u	: u
THS_EUR,PERS,N1-3,BE,PT	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,BE,RO	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BE,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,SK	: c	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BE,UK	: 	: 	: 	: 	63135.2 	: u
THS_EUR,PERS,N1-3,BG,AT	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,BE	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,BG	45059.9 	31148.87 	30343.6 	55359.02 	46571.05 	43801.03 
THS_EUR,PERS,N1-3,BG,CY	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,CZ	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DE	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DK	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BG,EL	: 	974.47 u	622.55 u	552.74 u	: u	: u
THS_EUR,PERS,N1-3,BG,ES	: c	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,BG,FR	: u	: u	: 	: u	: 	: u
THS_EUR,PERS,N1-3,BG,HR	: u	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,BG,HU	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,IE	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,LT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,LU	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,LV	: 	: c	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,MT	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NL	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NO	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,PL	: 	: u	: u	: 	: 	: u
