unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TOTAL,SI	21489.16 	17765.45 	16095.62 	21707.21 	24816.35 	26363.45 
THS_EUR,PERS,N1-3,DOM,TOTAL,SK	84517.09 	70449.94 	57484.14 	74503.6 	45692.2 b	57905.4 
THS_EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	2787460.98 	: u
THS_EUR,PERS,N1-3,DOM,WW,AT	: c	: u	: 	: u	: u	: 
THS_EUR,PERS,N1-3,DOM,WW,BE	: u	19.94 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,WW,CH	: 	: u	: u	: 	: u	: 
THS_EUR,PERS,N1-3,DOM,WW,CZ	: 	: u	: 	: u	: u	: 
THS_EUR,PERS,N1-3,DOM,WW,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,WW,DK	: 	14030.71 	5631.16 u	15315.49 b	9156.53 bu	3337.32 u
THS_EUR,PERS,N1-3,DOM,WW,EA	: 	: 	: 	64279.59 e	60759.56 e	95740.98 e
THS_EUR,PERS,N1-3,DOM,WW,EE	: c	: u	: u	1002.08 u	: u	: u
THS_EUR,PERS,N1-3,DOM,WW,EL	: 	10695.26 	7990.86 	13740.88 	9657.26 	11462.15 
