unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,OUT,TOTAL,LU	: 	158781.32 	205756.18 	207712.31 	152173.65 	143485.38 
THS_EUR,PERS,N1-3,OUT,TOTAL,LV	: 	68852.04 	80426.14 	52770.9 	56511.04 	68006.06 
THS_EUR,PERS,N1-3,OUT,TOTAL,MT	62078.66 	49940.19 	38406.76 	34303.2 b	34427.92 	28525.77 
THS_EUR,PERS,N1-3,OUT,TOTAL,NL	1372414.71 	845731.95 	783075.1 	758979.35 	821607.52 	849114.18 
THS_EUR,PERS,N1-3,OUT,TOTAL,NO	1452059.17 	1400815.36 	1407882.19 	1630119.57 	1323294 	: 
THS_EUR,PERS,N1-3,OUT,TOTAL,PL	613059.82 	420192.46 	413864.63 	336134.8 b	537673.29 	621680.03 
THS_EUR,PERS,N1-3,OUT,TOTAL,PT	107240.4 	100630.45 	87794.31 	72196.58 	41517.76 	58415.32 
THS_EUR,PERS,N1-3,OUT,TOTAL,RO	31903.13 	35556.13 	28641.91 	16275.03 	27128.93 	25753.52 
THS_EUR,PERS,N1-3,OUT,TOTAL,SE	: 	1024577.81 	1310148.81 	951723.83 	: 	: 
THS_EUR,PERS,N1-3,OUT,TOTAL,SI	166557.01 	126121.32 	135780.71 	124434.36 	129866.3 	116000.69 
THS_EUR,PERS,N1-3,OUT,TOTAL,SK	183921.59 	135212.48 	102096.31 	113925.42 	57115.69 b	96250.99 
THS_EUR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	: 	2471548.18 	: u
THS_EUR,PERS,N1-3,OUT,UNK,AT	1310139.73 	1233538.56 	1134861.83 	1224971.76 	1066761.07 	1029678.17 
THS_EUR,PERS,N1-3,OUT,UNK,BE	953979.2 b	1055463.89 	767898.25 	781022.76 	766032.75 	597194.82 
THS_EUR,PERS,N1-3,OUT,UNK,BG	36572.82 	34315.43 	28090.02 	34432.14 	31802.33 	26904.84 
THS_EUR,PERS,N1-3,OUT,UNK,CH	: 	1599611.05 	1728871.71 	1292369.16 	1600393.83 	1085819.7 
THS_EUR,PERS,N1-3,OUT,UNK,CY	140968.45 	102434.18 	81520.91 	76849.22 	88243.22 	66785.61 
THS_EUR,PERS,N1-3,OUT,UNK,CZ	209937.03 	212929.39 	189231.86 	182949.07 	182319.59 	158040.12 
THS_EUR,PERS,N1-3,OUT,UNK,DE	5283352.38 	5174516.39 	5374725.31 	4346236.26 	4987903.06 	5136056.38 
THS_EUR,PERS,N1-3,OUT,UNK,DK	: 	890885.74 	909842.4 	788289.04 b	742353.51 b	405971.31 
THS_EUR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	12886830.3 e	13754218.62 e
THS_EUR,PERS,N1-3,OUT,UNK,EL	: 	30003.19 	35411.96 	32039.77 	22731.94 	21433.03 
THS_EUR,PERS,N1-3,OUT,UNK,ES	1393413.26 	1217349.27 	1142590.24 b	830159.34 	719265.58 	700212.43 
THS_EUR,PERS,N1-3,OUT,UNK,EU27	: 	: 	: 	: 	17458273.52 e	17512320.27 e
THS_EUR,PERS,N1-3,OUT,UNK,EU28	: 	: 	: 	: 	17688369.09 e	17694422.46 e
THS_EUR,PERS,N1-3,OUT,UNK,FI	1564388.03 	1435682.61 	1409035.23 	1347238.87 	1485339.41 	1526037.91 
THS_EUR,PERS,N1-3,OUT,UNK,FR	2272403.07 	1695512.41 	1873594.12 	1968398.99 	1746331.32 	1778389.97 
THS_EUR,PERS,N1-3,OUT,UNK,HR	179880.35 	130525.91 	214482.44 	193312.04 	228766.79 	181490.39 
THS_EUR,PERS,N1-3,OUT,UNK,HU	453533.29 	397817.32 	286459.36 	285363.03 	241577.65 	188056.08 
THS_EUR,PERS,N1-3,OUT,UNK,IE	795185.36 	567486.62 	634152.86 	550569.94 	497711.47 	501844.28 
THS_EUR,PERS,N1-3,OUT,UNK,IT	1206750.64 	946588.58 	908801.11 	691099.21 b	877962.71 	1094675.7 
THS_EUR,PERS,N1-3,OUT,UNK,LT	70858.58 	72826.53 	74264.29 	72784.61 	67989.96 	64268.37 
THS_EUR,PERS,N1-3,OUT,UNK,LU	: 	158781.32 	205756.18 	207712.31 	152173.65 	143485.38 
THS_EUR,PERS,N1-3,OUT,UNK,LV	: 	68852.04 	80426.14 	52770.9 	56511.04 	68006.06 
THS_EUR,PERS,N1-3,OUT,UNK,MT	62078.66 	49940.19 	38406.76 	34303.2 b	34427.92 	28525.77 
THS_EUR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	849114.18 
THS_EUR,PERS,N1-3,OUT,UNK,NO	1452059.17 	1400815.36 	1407882.19 	1630119.57 	1323294 	: 
THS_EUR,PERS,N1-3,OUT,UNK,PL	613059.82 	420192.46 	413864.63 	336134.8 b	537673.29 	621680.03 
THS_EUR,PERS,N1-3,OUT,UNK,PT	107240.4 	100630.45 	87794.31 	72196.58 	41517.76 	58415.32 
THS_EUR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	: 	25753.52 
THS_EUR,PERS,N1-3,OUT,UNK,SE	: 	1024577.81 	1310148.81 	951723.83 	: 	: 
THS_EUR,PERS,N1-3,OUT,UNK,SI	166557.01 	126121.32 	135780.71 	124434.36 	129866.3 	116000.69 
THS_EUR,PERS,N1-3,OUT,UNK,SK	183921.59 	135212.48 	102096.31 	113925.42 	57115.69 b	96250.99 
THS_EUR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	2471548.18 	: u
THS_EUR,PERS,N1-3,WORLD,Q1,EA	: 	: 	: 	: 	269306.1 e	13062.09 e
THS_EUR,PERS,N1-3,WORLD,Q1,EE	27552.78 	25556.78 	22253.4 	24362.2 	23672.47 	13060.48 
THS_EUR,PERS,N1-3,WORLD,Q1,EU27	: 	: 	: 	: 	491893.86 e	13305.41 e
THS_EUR,PERS,N1-3,WORLD,Q1,EU28	: 	: 	: 	: 	491826.14 e	13303.31 e
THS_EUR,PERS,N1-3,WORLD,Q1,NL	220777.53 	315583.12 	343153.93 	283808.38 	245600.59 	: 
THS_EUR,PERS,N1-3,WORLD,Q1,RO	173876.12 	220275.61 	227119.44 	225690.48 	214657.76 	: 
THS_EUR,PERS,N1-3,WORLD,Q2,EA	: 	: 	: 	: 	454295.78 e	18161.35 e
THS_EUR,PERS,N1-3,WORLD,Q2,EE	47241.96 	49986.33 	36463.62 	46993.5 	25422.02 	18159.11 
THS_EUR,PERS,N1-3,WORLD,Q2,EU27	: 	: 	: 	: 	741882.39 e	18499.66 e
THS_EUR,PERS,N1-3,WORLD,Q2,EU28	: 	: 	: 	: 	741780.26 e	18496.74 e
THS_EUR,PERS,N1-3,WORLD,Q2,NL	408195.28 	406940.37 	312613.38 	403987.04 	428818.02 	: 
THS_EUR,PERS,N1-3,WORLD,Q2,RO	337527.67 	357878.28 	329572.63 	295651.89 	275632.38 	: 
THS_EUR,PERS,N1-3,WORLD,Q3,EA	: 	: 	: 	: 	693464.94 e	27688.48 e
THS_EUR,PERS,N1-3,WORLD,Q3,EE	74371.14 	64990.55 	61616.88 	48532.27 	34628.35 	27685.07 
THS_EUR,PERS,N1-3,WORLD,Q3,EU27	: 	: 	: 	: 	815660.7 e	28204.26 e
THS_EUR,PERS,N1-3,WORLD,Q3,EU28	: 	: 	: 	: 	815548.4 e	28199.81 e
THS_EUR,PERS,N1-3,WORLD,Q3,NL	741273.17 	720323.4 	700279.64 	683879.77 	658751.5 	: 
THS_EUR,PERS,N1-3,WORLD,Q3,RO	310352.14 	194466.29 	124856.66 	113659.59 	109076.5 	: 
THS_EUR,PERS,N1-3,WORLD,Q4,EA	: 	: 	: 	: 	722297.67 e	78960.28 e
THS_EUR,PERS,N1-3,WORLD,Q4,EE	136514.48 	118731.41 	110292.3 	82295.96 	72223.3 	78950.56 
THS_EUR,PERS,N1-3,WORLD,Q4,EU27	: 	: 	: 	: 	754179.69 e	80431.15 e
THS_EUR,PERS,N1-3,WORLD,Q4,EU28	: 	: 	: 	: 	754075.86 e	80418.46 e
