THS_EUR,PERS,N1-3,OUT,UNK,EU27	: 	15113207.36 e	: 	13808241.93 e	12224469.54 e
THS_EUR,PERS,N1-3,OUT,UNK,EU28	: 	15340156.2 e	: 	13806340.9 e	12222541.12 e
THS_EUR,PERS,N1-3,OUT,UNK,FR	: 	1873594.12 	1968398.99 	1746331.32 	1778389.97 
THS_EUR,PERS,N1-3,OUT,UNK,HR	: 	214482.44 	193312.04 	: 	: 
THS_EUR,PERS,N1-3,OUT,UNK,HU	: 	286459.36 	285363.03 	241577.65 	188056.08 
THS_EUR,PERS,N1-3,OUT,UNK,IE	: 	634152.86 	550569.94 	497711.47 	501844.28 
THS_EUR,PERS,N1-3,OUT,UNK,IT	: 	908801.11 	691099.21 	877962.71 	1094675.7 
THS_EUR,PERS,N1-3,OUT,UNK,LT	: 	74264.29 	72784.61 	67989.96 	64268.37 
THS_EUR,PERS,N1-3,OUT,UNK,LU	: 	205756.18 	207712.31 	152173.65 	: 
THS_EUR,PERS,N1-3,OUT,UNK,MT	: 	: 	: 	34427.92 	28525.77 
THS_EUR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,UNK,PL	: 	413864.63 	336134.8 	537673.29 	621680.03 
THS_EUR,PERS,N1-3,OUT,UNK,PT	: 	: 	72196.58 	: 	: 
THS_EUR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	25753.52 
THS_EUR,PERS,N1-3,OUT,UNK,SE	: 	1310148.81 	951723.83 	: 	: 
THS_EUR,PERS,N1-3,OUT,UNK,SK	: 	102096.31 	113925.42 	57115.69 	96250.99 
THS_EUR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	2471548.18 	1793850.77 
THS_EUR,PERS,N1-3,WORLD,ED0-2,AT	: 	323186.86 	351086.57 	354245.04 	360193.56 
THS_EUR,PERS,N1-3,WORLD,ED0-2,EA	: 	: 	: 	3856089.83 e	4008298.96 e
THS_EUR,PERS,N1-3,WORLD,ED0-2,EE	: 	16500.17 	16425.5 	13235.31 	8609.97 
THS_EUR,PERS,N1-3,WORLD,ED0-2,ES	: 	2390966.68 	2061784.35 	2088674.06 	2057549.64 
THS_EUR,PERS,N1-3,WORLD,ED0-2,EU27	: 	4844483.34 e	: 	4097320.5 e	4628867.36 e
THS_EUR,PERS,N1-3,WORLD,ED0-2,EU28	: 	4838585.71 e	: 	4147509.39 e	4666121.35 e
THS_EUR,PERS,N1-3,WORLD,ED0-2,FI	: 	828760.75 	830195.2 	923252.78 	1062971.97 
THS_EUR,PERS,N1-3,WORLD,ED0-2,HR	: 	: 	: 	49938.24 	37290.86 
THS_EUR,PERS,N1-3,WORLD,ED0-2,HU	: 	51938.92 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,ED0-2,LU	: 	: 	: 	: 	15287.12 
THS_EUR,PERS,N1-3,WORLD,ED0-2,LV	: 	20365.45 	9485.45 	13987.49 	14505.38 
THS_EUR,PERS,N1-3,WORLD,ED0-2,MT	: 	5908.96 	4385.94 	: 	: 
THS_EUR,PERS,N1-3,WORLD,ED0-2,NL	325505.05 	295027.09 	305336.55 	298274.7 	310652.54 
THS_EUR,PERS,N1-3,WORLD,ED0-2,PL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,WORLD,ED0-2,PT	: 	223635.91 	: 	155010.13 	177083.59 
THS_EUR,PERS,N1-3,WORLD,ED0-2,RO	: 	48552.74 	44288.29 	42585.52 	: 
THS_EUR,PERS,N1-3,WORLD,ED0-2,SI	: 	25040.62 	20716.05 	22924.66 	15457.45 
THS_EUR,PERS,N1-3,WORLD,ED3_4,AT	: 	1621024.25 	1720464.53 	1471782.76 	1400589.8 
THS_EUR,PERS,N1-3,WORLD,ED3_4,EA	: 	: 	: 	6518043.23 e	6546675.2 e
THS_EUR,PERS,N1-3,WORLD,ED3_4,EE	: 	94100.17 	91498.77 	66559.6 	54792.52 
THS_EUR,PERS,N1-3,WORLD,ED3_4,ES	: 	2011611.16 	2374893.66 	2368335.8 	2340580.96 
THS_EUR,PERS,N1-3,WORLD,ED3_4,EU27	: 	8072698.2 e	: 	7277276.99 e	7987466.65 e
THS_EUR,PERS,N1-3,WORLD,ED3_4,EU28	: 	8062870.56 e	: 	7588683.51 e	8224036.95 e
THS_EUR,PERS,N1-3,WORLD,ED3_4,FI	: 	1693714.33 	1615111.97 	1809461.4 	1840323.36 
THS_EUR,PERS,N1-3,WORLD,ED3_4,HR	: 	: 	: 	307393.31 	233489.16 
THS_EUR,PERS,N1-3,WORLD,ED3_4,HU	: 	222624.93 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,ED3_4,LU	: 	: 	: 	: 	48418.92 
THS_EUR,PERS,N1-3,WORLD,ED3_4,LV	: 	72822.01 	68989.06 	76959.29 	82529.01 
THS_EUR,PERS,N1-3,WORLD,ED3_4,MT	: 	34501.65 	26557.56 	: 	: 
THS_EUR,PERS,N1-3,WORLD,ED3_4,NL	1115563.08 	613953.69 	656692.14 	593429.95 	637029.3 
THS_EUR,PERS,N1-3,WORLD,ED3_4,PL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,WORLD,ED3_4,PT	: 	147620.31 	: 	86952.25 	106560.73 
THS_EUR,PERS,N1-3,WORLD,ED3_4,RO	: 	434228.64 	413363.95 	385242.76 	: 
THS_EUR,PERS,N1-3,WORLD,ED3_4,SI	: 	102347.83 	114295.23 	120721.7 	117574.2 
THS_EUR,PERS,N1-3,WORLD,ED5-8,AT	: 	867690.27 	771695.51 	739534 	646900.2 
THS_EUR,PERS,N1-3,WORLD,ED5-8,EA	: 	: 	: 	6631011.69 e	6641625.32 e
THS_EUR,PERS,N1-3,WORLD,ED5-8,EE	: 	120025.86 	94259.66 	76151.23 	74452.74 
THS_EUR,PERS,N1-3,WORLD,ED5-8,ES	: 	5158619.66 	2750609.42 	2635079.82 	2650635.26 
THS_EUR,PERS,N1-3,WORLD,ED5-8,EU27	: 	11421900.8 e	: 	7163940.7 e	8232035.42 e
