unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS_EUR,PERS,N1-3,DOM,Y25-44,LU	: 	: u	: u	: u	: u	980.23 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,LV	: 	36765.22 	37399.63 	42863.2 	43680.72 	44099.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,MT	13904.73 	13261.06 	10744.23 	10341.25 b	7159.57 	8226.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,NL	480697.68 	419589.02 	402895.97 	374766.91 	382754.74 	402236.23 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,NO	815632.3 	679291.84 	792667.01 	778537.36 	727700.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,PL	672274.49 	554288.76 	578939.79 	428314.39 b	937010.51 	1268151.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,PT	239514.3 	204477.04 	210549.49 	194304.03 	142063.18 	143916.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,RO	391559.33 	397707.85 	346546.38 	328607.83 	323711.15 	237505.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,SE	: 	941943.78 	899187.18 	627703.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,SI	37098.24 	32154.8 	26280.69 	47563.97 	42942.92 	41749.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,SK	241757.14 	200585.24 	141534.39 	147614.59 	140861.93 b	109511.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,UK	: 	: 	: 	: 	3736573.63 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,AT	345155.73 	344341.88 	301274.68 	315923.12 	305191.95 	315781.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,BE	70348.97 b	55045.89 	41940.98 	36581.12 	47503.84 	55222.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,BG	46950.91 	26751.71 	25642.55 	39804.19 	38636.41 	28840.52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,CH	: 	100765.69 	148684.43 	174362.22 	176134.32 	126034.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,CY	32806.44 	24953.41 	25289.54 	30017.33 	14111.42 	13431.9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,CZ	179184.77 	156606.05 	143434.03 	114518.36 	127352.09 	110126.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,DE	1646464.72 	1882979.86 	1759898.26 	1563308.11 	1756668.12 	1974840.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y35-44,DK	: 	419823.04 	571334.38 	489515.96 b	405699.23 b	228430.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
