unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,IE	795185.36 	567486.62 	634152.86 	550569.94 	497711.47 	501844.28 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,IT	1206750.64 	946588.58 	908801.11 	691099.21 b	877962.71 	1094675.7 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,LT	70858.58 	72826.53 	74264.29 	72784.61 	67989.96 	64268.37 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,LU	: 	158781.32 	205756.18 	207712.31 	152173.65 	143485.38 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,LV	: 	68852.04 	80426.14 	52770.9 	56511.04 	68006.06 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,MT	62078.66 	49940.19 	38406.76 	34303.2 b	34427.92 	28525.77 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,NL	1372414.71 	845731.95 	783075.1 	758979.35 	821607.52 	849114.18 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,NO	1452059.17 	: 	1407882.19 	1630119.57 	1323294 	: 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,PL	613059.82 	420192.46 	413864.63 	336134.8 b	537673.29 	621680.03 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,PT	107240.4 	100630.45 	87794.31 	72196.58 	41517.76 	58415.32 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,RO	31903.13 	35556.13 	28641.91 	16275.03 	27128.93 	25753.52 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,SE	: 	1024577.81 	1310148.81 	951723.83 	: 	: 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,SI	166557.01 	126121.32 	135780.71 	124434.36 	129866.3 	116000.69 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,SK	183921.59 	135212.48 	102096.31 	113925.42 	57115.69 b	96250.99 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,UK	: 	: 	: 	: 	2471548.18 	1793850.77 
THS_EUR,PERS,N1-3,OUT,EDUC,AT	109714.43 	112669.03 	90330.88 	144784.7 	141098.02 	117301.36 
THS_EUR,PERS,N1-3,OUT,EDUC,EA	: 	: 	: 	: 	445175.89 e	470473.83 e
THS_EUR,PERS,N1-3,OUT,EDUC,EE	7809.59 u	8387.46 u	3990.62 u	8076.47 	10138.39 	: u
THS_EUR,PERS,N1-3,OUT,EDUC,ES	159419.43 	98161.73 	63856.41 b	72721.53 	77927.1 	78694.54 
THS_EUR,PERS,N1-3,OUT,EDUC,EU27	: 	: 	447887.24 e	: 	472215 e	663130 e
THS_EUR,PERS,N1-3,OUT,EDUC,EU28	: 	: 	480116.3 e	: 	472149.99 e	663025.39 e
THS_EUR,PERS,N1-3,OUT,EDUC,FI	110125.84 	150379.27 	110719.14 	127269.46 	117678.74 	172242.5 
THS_EUR,PERS,N1-3,OUT,EDUC,HR	20167.34 u	: 	28651.25 u	39308.29 	: 	: 
THS_EUR,PERS,N1-3,OUT,EDUC,LU	: 	: 	: 	: 	: 	11251.27 
THS_EUR,PERS,N1-3,OUT,EDUC,LV	: 	: c	: u	: u	7191.39 u	10685.15 u
THS_EUR,PERS,N1-3,OUT,EDUC,MT	: 	6457.7 	3733.94 u	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EDUC,NL	162769.45 	99595.95 	71370.16 	73508.08 	78047.22 	58903.11 
THS_EUR,PERS,N1-3,OUT,EDUC,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,EDUC,PT	6102.47 u	8059.25 u	14405.68 u	: 	: u	: u
THS_EUR,PERS,N1-3,OUT,EDUC,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,OUT,EDUC,SI	: 	17927.9 	16579.05 	23351.95 	18155.27 	23652.95 
THS_EUR,PERS,N1-3,OUT,EMP,AT	927907.21 	886013.03 	816007.62 	829016.28 	723946.27 	705543.76 
THS_EUR,PERS,N1-3,OUT,EMP,EA	: 	: 	: 	: 	2946432.07 e	3109763.88 e
THS_EUR,PERS,N1-3,OUT,EMP,EE	69483.5 	67388.99 	64830.74 	61658.55 	58133.26 	51285.54 
THS_EUR,PERS,N1-3,OUT,EMP,ES	1000183.07 	906651.5 	895601.05 b	573661.37 	449684.02 	461680.88 
THS_EUR,PERS,N1-3,OUT,EMP,EU27	: 	: 	4073417.69 e	: 	3103566.98 e	3610942.73 e
THS_EUR,PERS,N1-3,OUT,EMP,EU28	: 	: 	4212339.3 e	: 	3103139.7 e	3610373.1 e
THS_EUR,PERS,N1-3,OUT,EMP,FI	1080826.24 	951573.4 	939764.69 	901837.16 	1012953.95 	1057787.55 
THS_EUR,PERS,N1-3,OUT,EMP,HR	122085.07 	: 	125780.16 	106931.71 	: 	: 
THS_EUR,PERS,N1-3,OUT,EMP,LU	: 	: 	: 	: 	: 	104755.1 
THS_EUR,PERS,N1-3,OUT,EMP,LV	: 	57253.14 	61044.36 	37344 	39244.58 	47675.92 
THS_EUR,PERS,N1-3,OUT,EMP,MT	: 	36241.74 	27633.56 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EMP,NL	1024375.98 	582769.21 	580606.03 	522891.54 	596448.74 	618335.91 
THS_EUR,PERS,N1-3,OUT,EMP,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,EMP,PT	27575.02 	71110.79 	59709.12 	: 	21851.65 	43197.03 
