accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,HR	59.5 	56.5 	53.5 	52.7 	53.2 	53.1 
BEDPL,PC,HR0	59.5 	56.5 	53.5 	52.7 	53.2 	53.1 
BEDPL,PC,HR03	64.7 	61.8 	59.3 	58.3 	59.2 	59.5 
BEDPL,PC,HR04	45 	40.8 	37.3 	37.4 	34 	32.2 
BEDPL,PC,HU	40.6 	38.3 	36.3 	35 	33.5 	32.1 
BEDPL,PC,HU1	52.3 	49.3 	47.6 	45.4 	43.1 	43.4 
BEDPL,PC,HU10	: 	49.3 	47.6 	45.4 	43.1 	43.4 
BEDPL,PC,HU11	56 	: 	: 	: 	: 	: 
BEDPL,PC,HU12	33.4 	: 	: 	: 	: 	: 
BEDPL,PC,HU2	36 	34.2 	32 	31.2 	30.2 	29.3 
BEDPL,PC,HU21	32.6 	31.1 	29.6 	28.4 	26.3 	25.2 
BEDPL,PC,HU22	39.8 	37.6 	34.6 	34.4 	34.1 	34.4 
BEDPL,PC,HU23	31.4 	30.2 	29.1 	27.6 	26.2 	23.4 
BEDPL,PC,HU3	33.3 	31.1 	29.3 	28 	26 	24.2 
BEDPL,PC,HU31	33.5 	31.1 	29.8 	28.3 	26.4 	23.4 
BEDPL,PC,HU32	33.3 	32.1 	29.8 	28.9 	27.5 	26.5 
BEDPL,PC,HU33	33.1 	30.1 	28 	26.4 	23.5 	22.3 
BEDPL,PC,IE	: 	54 e	52 e	46 e	44 e	43 e
BEDPL,PC,IE0	: 	54 e	52 e	46 e	44 e	43 e
BEDPL,PC,IE01	: 	49 e	48 e	44 e	41 e	: 
BEDPL,PC,IE02	: 	57 e	54 e	47 e	44 e	: 
BEDPL,PC,IS	: 	54.9 	0.49 	44.6 	37.4 	39.8 
BEDPL,PC,IS0	: 	54.9 	0.49 	44.6 	37.4 	39.8 
BEDPL,PC,IS00	: 	54.9 	0.49 	44.6 	37.4 	39.8 
BEDPL,PC,IT	46.1 	43.7 	42.5 	40.6 	40.5 	40.9 
BEDPL,PC,ITC	45.9 	44.1 	44.7 	40.9 	41.1 	38.2 
