accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDRM,PC,LT25,IS	: 	: 	: 	38.2 	29.9 	30.9 
BEDRM,PC,LT25,LT	37 	34.6 	29.4 	35.4 	36.5 	33.5 
BEDRM,PC,LT25,LV	22.42 	21.3 	21.4 	24.8 	22.8 	24.2 
BEDRM,PC,LT25,MT	43.4 	40.8 	36.1 	32.1 	37.6 	29 
BEDRM,PC,LT25,NO	: 	36.8 	35.5 	33.9 	31.8 	34.9 
BEDRM,PC,LT25,PL	48 	46.7 	44.5 	42 	40.8 	40.4 
BEDRM,PC,LT25,RO	: 	: 	: 	31.1 	27.9 	29.6 
BEDRM,PC,LT25,SE	42.4 	41.58 	38.56 	36.1 	34.5 	33.3 
BEDRM,PC,LT25,UK	: 	51.9 	51.1 	: 	48.5 	: 
BEDRM,PC,TOTAL,AT	55 	54 	52 	: 	: 	: 
BEDRM,PC,TOTAL,BE	0.62 	56 	61.54 	: c	54.6 	53.6 
BEDRM,PC,TOTAL,BG	57.1 	55.2 	48.7 	49.4 	52.1 	49.6 
BEDRM,PC,TOTAL,CH	: 	51.33 	51.5 	52 	51.6 	50.5 
BEDRM,PC,TOTAL,CY	74.6 	69.9 	63 	62.7 	61.5 	64 
BEDRM,PC,TOTAL,CZ	49.8 	46.4 	43 	44.7 	41.3 	38.6 
BEDRM,PC,TOTAL,DE	62.07 	61.8 	60.23 	59.1 	57.9 	57.1 
BEDRM,PC,TOTAL,DK	62 	62 	61 	57 	55 	54 
BEDRM,PC,TOTAL,EA	57.19 	57.43 	56.17 	: 	: 	: 
BEDRM,PC,TOTAL,EE	55 	54 	52 	51 	52 	52 
BEDRM,PC,TOTAL,EL	50.2 	47.7 	46.8 	46.2 	44.2 	44.1 
BEDRM,PC,TOTAL,ES	67.07 	65.72 	61.97 	59.2 	57.2 	56.1 
BEDRM,PC,TOTAL,EU27	55.72 	57.51 	56.12 	: 	: 	: 
BEDRM,PC,TOTAL,EU28	55.76 	57.51 	56.11 	: 	: 	: 
BEDRM,PC,TOTAL,FI	54.76 	52.9 	51.13 	50.3 	50 	51.3 
BEDRM,PC,TOTAL,FR	61.2 	58.4 	59 	59.1 	59.3 	60.3 
BEDRM,PC,TOTAL,HR	59.2 	57.3 	54.4 	53 	52.6 	: 
BEDRM,PC,TOTAL,HU	55 	52 	49.8 	47.8 	45.7 	43.4 
BEDRM,PC,TOTAL,IE	: 	71 e	68 e	61 e	58 e	58 e
BEDRM,PC,TOTAL,IS	: 	65.3 	0.58 	52.4 	54.1 	47.3 
BEDRM,PC,TOTAL,IT	48.8 	46.2 	44.9 	42.9 	42.8 	42.8 
BEDRM,PC,TOTAL,LI	37.8 	34.9 	36.9 	: 	: 	: 
BEDRM,PC,TOTAL,LT	53.7 	51 	49.3 	48.7 	47.9 	45.2 
BEDRM,PC,TOTAL,LU	45.16 	44.83 	45.61 	46.9 	43.2 	41.1 
BEDRM,PC,TOTAL,LV	44.8 	42.5 	42.4 	45.1 	41.1 	39.4 
BEDRM,PC,TOTAL,MK	39.3 	35 	37.18 	36.1 	22.1 	: 
BEDRM,PC,TOTAL,MT	76.7 	74 	74 	72.7 	70 	64.8 
BEDRM,PC,TOTAL,NL	71.8 	68.1 	68.1 	65.8 	63.5 	62.9 
BEDRM,PC,TOTAL,NO	: 	54.4 	53.6 	52.9 	52.4 	52.6 
BEDRM,PC,TOTAL,PL	48.9 	47.6 	45.3 	42.7 	41.6 	41.1 
BEDRM,PC,TOTAL,PT	56.98 	53.24 	48.2 	45.7 	43.7 	44 
BEDRM,PC,TOTAL,RO	43.97 	43.91 	47.44 	44.1 	42.5 	40.4 
BEDRM,PC,TOTAL,RS	: 	30.5 	29.5 	27.4 	29.1 	: 
BEDRM,PC,TOTAL,SE	58.27 	58 	55.27 	51.7 	50.3 	50.1 
BEDRM,PC,TOTAL,SI	55.6 	52.2 	49.5 	47.3 	46.9 	47.7 
BEDRM,PC,TOTAL,SK	39.94 	38.82 	35.48 	32.6 	33.4 	31.5 
BEDRM,PC,TOTAL,UK	: 	70.2 	68.5 	: 	66.4 	63.6 
