unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,T,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,SK	9037490 	8691208 	7043087 	5798469 	5525240 b	3918960 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,UK	: 	: 	: 	: 	118641820 	120588222 	: 	: 	: 	: 	: 	: 	: 	: 	110500000 	124400000 	121600000 	129900000 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,AT	3963308 	3850063 	3424134 	3480261 	3425532 	3669809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,BE	3783434 b	4112205 	3143020 	3040695 	2992661 	2349845 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,BG	202780 	202557 	163293 	243693 	205875 	165450 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CH	: 	4105169 	4667775 	4030526 	3858217 	4692847 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CY	351365 	266047 	240085 	187423 	264063 	224264 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CZ	1657670 	1422955 	1341715 	1237297 	1347798 	1111396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,DE	18146713 	17945509 	17353976 	16996453 	17046017 	15456319 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,DK	: 	2548583 	2515427 	2805430 	2169687 b	1816721 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
NR,PERS,N1-3,OUT,F,EA	: 	: 	: 	49077693 e	46633182 e	46531595 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EE	483621 	423132 	398110 	576470 	434388 	634827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
