unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,EMP,RO	275906 	315544 	227282 	134325 	244035 	177863 
NR,PERS,N1-3,OUT,EMP,SI	: 	1427737 	1592594 	1525550 	1492155 	1093370 
NR,PERS,N1-3,OUT,INAC_OTH,AT	1531762 	1433742 	1294431 	1404234 	1300121 	1460816 
NR,PERS,N1-3,OUT,INAC_OTH,EA	: 	: 	: 	: 	5823650 e	5743255 e
NR,PERS,N1-3,OUT,INAC_OTH,EE	103656 u	94639 u	81533 u	103516 	86135 	137504 u
NR,PERS,N1-3,OUT,INAC_OTH,ES	1001168 	840385 	734657 b	1015124 	1026318 	982492 
NR,PERS,N1-3,OUT,INAC_OTH,EU27	: 	: 	6430212 e	: 	6038986 e	6575735 e
NR,PERS,N1-3,OUT,INAC_OTH,EU28	: 	: 	6850221 e	: 	6038155 e	6574698 e
NR,PERS,N1-3,OUT,INAC_OTH,FI	1608737 	1461127 	1660079 	1511997 	1696597 	1272486 
NR,PERS,N1-3,OUT,INAC_OTH,HR	218063 	: 	374015 	318552 	: 	: 
NR,PERS,N1-3,OUT,INAC_OTH,LU	: 	: 	: 	: 	: 	121020 
NR,PERS,N1-3,OUT,INAC_OTH,LV	: 	84153 u	73825 u	111307 u	68823 u	80630 u
NR,PERS,N1-3,OUT,INAC_OTH,MT	: 	26534 u	34428 u	: 	: 	: 
NR,PERS,N1-3,OUT,INAC_OTH,NL	1348148 	1236657 	1196363 	1358574 	1229030 	1335655 
NR,PERS,N1-3,OUT,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,INAC_OTH,PT	: c	142525 	66746 u	: 	91109 u	122746 
NR,PERS,N1-3,OUT,INAC_OTH,RO	: c	: u	: u	: u	: u	: u
NR,PERS,N1-3,OUT,INAC_OTH,SI	: 	471701 	453690 	289416 	393625 	309829 
NR,PERS,N1-3,OUT,UNE,AT	121452 u	127344 u	120181 u	: u	: u	: u
NR,PERS,N1-3,OUT,UNE,EA	: 	: 	: 	: 	1369432 e	1367671 e
NR,PERS,N1-3,OUT,UNE,EE	: c	: u	: u	40001 u	38131 u	: u
NR,PERS,N1-3,OUT,UNE,ES	633069 	720485 	741368 b	589863 	541508 	517235 
NR,PERS,N1-3,OUT,UNE,EU27	: 	: 	1917135 e	: 	1432716 e	1712448 e
NR,PERS,N1-3,OUT,UNE,EU28	: 	: 	2193014 e	: 	1432519 e	1712178 e
NR,PERS,N1-3,OUT,UNE,FI	248667 u	283262 u	215436 u	205700 u	154035 u	126265 u
NR,PERS,N1-3,OUT,UNE,HR	211992 	: 	243214 u	229962 	: 	: 
NR,PERS,N1-3,OUT,UNE,LU	: 	: 	: 	: 	: 	52973 
NR,PERS,N1-3,OUT,UNE,LV	: 	: c	: u	46977 u	: u	: u
NR,PERS,N1-3,OUT,UNE,MT	: 	: u	: c	: 	: 	: 
NR,PERS,N1-3,OUT,UNE,NL	309467 	417519 	328689 	407392 	370458 	334610 
NR,PERS,N1-3,OUT,UNE,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNE,PT	: c	91319 u	48516 u	: 	: u	: u
NR,PERS,N1-3,OUT,UNE,RO	: c	: u	: u	: 	: 	: 
NR,PERS,N1-3,OUT,UNE,SI	: 	114102 u	160452 u	86433 u	166524 	156300 
NR,PERS,N1-3,OUT,UNK,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,UNK,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,UNK,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,UNK,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,UNK,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,UNK,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,UNK,DK	: 	4843024 	5426585 	4908352 	4792423 b	3367517 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	63174875 e	61090854 e
NR,PERS,N1-3,OUT,UNK,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	104212104 e	: 	98535742 e	89989673 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	104085237 e	: 	100599420 e	92154475 e
NR,PERS,N1-3,OUT,UNK,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,UNK,HR	: 	1317299 	: 	: 	2043897 	2139225 
NR,PERS,N1-3,OUT,UNK,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,UNK,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,UNK,IT	7200667 	5980802 	6319631 	5843188 b	5747099 	7940022 
NR,PERS,N1-3,OUT,UNK,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,UNK,LU	: 	961892 	1212682 	1290118 	1027517 	: 
NR,PERS,N1-3,OUT,UNK,MT	271443 	: 	: 	146593 b	148844 	119688 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNK,NO	4784805 	: 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,UNK,PL	4598958 	4267189 	4039554 	3633928 b	3755261 	3669135 
NR,PERS,N1-3,OUT,UNK,PT	588805 	: 	: 	605559 	57686 u	: 
NR,PERS,N1-3,OUT,UNK,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	2781350 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UNK,SK	2225911 	1639153 	1189078 	1522791 	814994 b	938147 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,WORLD,ACT_INAC,AT	20951845 	21116817 	18993653 	20023234 	18755481 	18269954 
NR,PERS,N1-3,WORLD,ACT_INAC,BE	11552461 b	11235598 	10453466 	8811487 	8867014 	7529520 
NR,PERS,N1-3,WORLD,ACT_INAC,BG	6170654 	3709486 	3330047 	4490820 	4212700 	4166656 
