unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,WORLD,UNK,IE	14969680 	13430326 	13089478 	11656187 	11143244 	11192881 
NR,PERS,N1-3,WORLD,UNK,IT	48265584 	50041595 	40897010 	42172406 b	39075094 	50095552 
NR,PERS,N1-3,WORLD,UNK,LT	4102092 	4047017 	4283568 	4237424 	3955144 	4123445 
NR,PERS,N1-3,WORLD,UNK,LU	: 	982090 	1235032 	1324352 	1094371 	1045806 
NR,PERS,N1-3,WORLD,UNK,LV	: 	4997769 	4718739 	4870293 	4984433 	5652253 
NR,PERS,N1-3,WORLD,UNK,MT	686936 	625845 	526112 	485615 b	470418 	450374 
NR,PERS,N1-3,WORLD,UNK,NL	: 	: 	: 	: 	: 	41533613 
NR,PERS,N1-3,WORLD,UNK,NO	21362988 	20542670 	20796370 	22358365 	18087274 	: 
NR,PERS,N1-3,WORLD,UNK,PL	57157071 	52904608 	48125924 	45571391 b	54386097 	50912065 
NR,PERS,N1-3,WORLD,UNK,PT	18267901 	17148730 	16539316 	15339355 	14807606 	14195318 
NR,PERS,N1-3,WORLD,UNK,RO	: 	: 	: 	: 	: 	19832809 
NR,PERS,N1-3,WORLD,UNK,SE	: 	40062916 	41297843 	36889955 	: 	: 
NR,PERS,N1-3,WORLD,UNK,SI	5315759 	4788057 	4691954 	4974938 	5225547 	4913394 
NR,PERS,N1-3,WORLD,UNK,SK	11263401 	10330362 	8232165 	7321260 	6340234 b	4857107 
NR,PERS,N1-3,WORLD,UNK,UK	: 	: 	: 	: 	136695428 	138030669 
NR,PERS,N_GE1,DOM,Q1,EA	: 	: 	: 	: 	20615041 e	1746861 e
