unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,TOTAL,HR	2481744 	2600601 	: 	: 	5731124 
NR,PERS,N1-3,DOM,TOTAL,HU	18161591 	17999573 	: 	: 	16457775 
NR,PERS,N1-3,DOM,TOTAL,IE	10362955 	9993138 	: 	: 	7896544 
NR,PERS,N1-3,DOM,TOTAL,IT	41064916 	44060794 	: 	: 	33327995 
NR,PERS,N1-3,DOM,TOTAL,LT	3227905 	3161710 	: 	: 	3121013 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	20197 u	: 	: 	66854 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	4111422 	: 	: 	4229386 
NR,PERS,N1-3,DOM,TOTAL,MT	415493 	405279 	360284 	339022 	321574 
NR,PERS,N1-3,DOM,TOTAL,NL	27417182 	27726435 	27375257 	: 	29652370 
NR,PERS,N1-3,DOM,TOTAL,NO	16578183 	15870591 	15688166 	16927114 	13484748 
NR,PERS,N1-3,DOM,TOTAL,PL	52558113 	48637419 	: 	: 	50630835 
NR,PERS,N1-3,DOM,TOTAL,PT	17334510 	16241852 	: 	: 	14346515 
NR,PERS,N1-3,DOM,TOTAL,RO	22573414 	21929908 	: 	: 	21005630 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	34348522 	: 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,SI	2534409 	2436374 	: 	: 	2861056 
NR,PERS,N1-3,DOM,TOTAL,SK	9037490 	8691208 	: 	5798469 	5525240 
NR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	118641820 
NR,PERS,N1-3,OUT,CITY,AT	4222955 	4249599 	: 	: 	3604108 
NR,PERS,N1-3,OUT,CITY,BE	: 	4590031 	: 	: 	3167211 
NR,PERS,N1-3,OUT,CITY,BG	: 	212957 	: 	: 	231542 
NR,PERS,N1-3,OUT,CITY,CH	: 	3332640 	2785153 	: 	2464079 
NR,PERS,N1-3,OUT,CITY,CY	: 	184961 	: 	: 	394115 
NR,PERS,N1-3,OUT,CITY,CZ	: 	1499884 	: 	: 	1389859 
NR,PERS,N1-3,OUT,CITY,DE	: 	23986992 	: 	: 	20572658 
NR,PERS,N1-3,OUT,CITY,DK	: 	2678958 	: 	: 	1753583 
NR,PERS,N1-3,OUT,CITY,EA	: 	: 	: 	: 	59086326 e
NR,PERS,N1-3,OUT,CITY,EE	: 	554933 	: 	: 	677221 
NR,PERS,N1-3,OUT,CITY,EL	: 	199741 	: 	: 	145371 
NR,PERS,N1-3,OUT,CITY,ES	: 	5827872 	: 	: 	4776814 
NR,PERS,N1-3,OUT,CITY,EU27	: 	: 	: 	: 	86015188 e
NR,PERS,N1-3,OUT,CITY,EU28	: 	: 	: 	: 	87563334 e
NR,PERS,N1-3,OUT,CITY,FI	: 	6185542 	: 	: 	5816544 
NR,PERS,N1-3,OUT,CITY,FR	: 	4588934 	: 	: 	5535330 
NR,PERS,N1-3,OUT,CITY,HR	: 	525611 	: 	: 	1532656 
NR,PERS,N1-3,OUT,CITY,HU	5787187 	5424786 	: 	: 	3297637 
NR,PERS,N1-3,OUT,CITY,IE	: 	2905117 	: 	: 	2797782 
NR,PERS,N1-3,OUT,CITY,IT	: 	3274462 	: 	: 	4791507 
NR,PERS,N1-3,OUT,CITY,LT	: 	754303 	: 	: 	419109 
NR,PERS,N1-3,OUT,CITY,LU	: 	664233 	: 	: 	739361 
NR,PERS,N1-3,OUT,CITY,LV	: 	480843 	: 	: 	578473 
NR,PERS,N1-3,OUT,CITY,MT	: 	181197 	: 	: 	120006 
NR,PERS,N1-3,OUT,CITY,NL	: 	4183749 	: 	: 	4373183 
NR,PERS,N1-3,OUT,CITY,NO	2463680 	2577194 	2401520 	2769515 	1892300 
NR,PERS,N1-3,OUT,CITY,PL	: 	3896386 	: 	: 	2946667 
NR,PERS,N1-3,OUT,CITY,PT	: 	629029 	: 	: 	257287 
NR,PERS,N1-3,OUT,CITY,RO	239791 	290383 	: 	: 	201301 
NR,PERS,N1-3,OUT,CITY,SE	: 	1794104 	: 	: 	: 
NR,PERS,N1-3,OUT,CITY,SI	: 	835152 	: 	: 	705158 
NR,PERS,N1-3,OUT,CITY,SK	: 	1355380 	: 	: 	605421 u
NR,PERS,N1-3,OUT,CITY,UK	: 	: 	: 	: 	14476772 
NR,PERS,N1-3,OUT,CRS,AT	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,BE	: 	25948 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,CH	: 	: 	: u	: 	: u
NR,PERS,N1-3,OUT,CRS,CY	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,CZ	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,DE	: 	: u	: 	: 	: u
