c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,DE8	285026 	278896 	271592 	274849 	249638 	245082 	222699 	216613 	197955 	222265 	212262 	194854 	190085 	187796 	186605 	169687 	157348 	150077 	128580 	114611 	97336 	86461 	76383 	73805 	74808 	76495 	: 	: 
FOR,NR,I551,DE80	285026 	278896 	271592 	274849 	249638 	245082 	222699 	216613 	197955 	222265 	212262 	194854 	190085 	187796 	186605 	169687 	157348 	150077 	128580 	114611 	97336 	86461 	76383 	73805 	74808 	76495 	: 	: 
FOR,NR,I551,DE9	1271917 	1223340 	1175024 	1114347 	1080193 	1051660 	1058732 	987657 	897959 	956287 	929182 	893817 	853389 	776636 	778114 	766299 	761294 	921458 	733253 	699453 	705992 	669235 	646318 	646585 	656985 	689966 	780120 	753346 
FOR,NR,I551,DE91	333878 	322516 	298134 	268179 	249751 	237496 	243754 	237305 	230844 	237324 	253998 	235683 	221680 	207300 	216582 	211010 	208182 	242212 	200979 	192740 	193576 	179109 	166055 	: 	: 	: 	: 	247429 
FOR,NR,I551,DE92	500287 	476880 	468932 	452369 	437957 	424887 	443526 	389066 	338861 	364968 	342431 	352481 	338307 	294147 	290993 	286749 	298704 	402708 	290270 	275610 	289123 	270209 	260333 	: 	: 	: 	: 	243307 
FOR,NR,I551,DE93	195876 	184392 	190668 	186938 	188759 	186721 	175225 	166516 	154778 	159850 	154273 	139926 	142782 	133402 	128606 	131944 	131095 	149369 	124874 	123303 	119422 	114332 	113935 	: 	: 	: 	: 	154998 
FOR,NR,I551,DE94	241876 	239552 	217290 	206861 	203726 	202556 	196227 	194770 	173476 	194145 	178480 	165727 	150620 	141787 	141933 	136596 	123313 	127169 	117130 	107800 	103871 	105585 	105995 	: 	: 	: 	: 	107612 
FOR,NR,I551,DEA	4802323 	4502123 	4368092 	4286077 	4100282 	3883236 	3767700 	3492500 	3090468 	3244621 	3159435 	3140394 	2806292 	2640246 	2395760 	2248838 	2248838 	2370356 	2235415 	2175807 	2098277 	1954787 	1874228 	1744162 	1733037 	1833675 	1854034 	1980192 
FOR,NR,I551,DEA1	1877177 	1823006 	1706788 	1705702 	1632213 	1543565 	1446511 	1341259 	1163134 	1238252 	1164113 	1137294 	1023359 	1005267 	909416 	852671 	852671 	918142 	853355 	826070 	798929 	733720 	710338 	: 	: 	: 	: 	698618 
FOR,NR,I551,DEA2	1808601 	1644539 	1674864 	1617571 	1526041 	1433658 	1399760 	1268202 	1119956 	1181713 	1209480 	1215740 	1091004 	992127 	886362 	852624 	852624 	898815 	855547 	834034 	791225 	736720 	722240 	: 	: 	: 	: 	788799 
FOR,NR,I551,DEA3	262401 	230725 	226773 	227327 	213368 	204194 	208621 	211233 	203431 	205313 	200939 	189671 	165705 	150823 	140757 	139828 	139828 	143350 	137990 	129036 	127036 	122000 	101990 	: 	: 	: 	: 	99766 
FOR,NR,I551,DEA4	229127 	205970 	192753 	192125 	198369 	186654 	195142 	186544 	176228 	182369 	174661 	166030 	161517 	148019 	139380 	134384 	134384 	149028 	132148 	124738 	117516 	116774 	107666 	: 	: 	: 	: 	110842 
FOR,NR,I551,DEA5	625017 	597883 	566914 	543352 	530291 	515165 	517666 	485262 	427719 	436974 	410242 	431659 	364707 	344010 	319845 	269331 	269331 	261021 	256375 	261929 	263571 	245573 	231994 	: 	: 	: 	: 	282167 
FOR,NR,I551,DEB	1289800 	1254452 	1290926 	1261951 	1284104 	1280641 	1291136 	1262448 	1205790 	1228947 	1229952 	1193005 	1145376 	1087800 	994254 	970955 	995779 	1081952 	990095 	934328 	849167 	812810 	815923 	787478 	814856 	938450 	982028 	1086143 
FOR,NR,I551,DEB1	530871 	519546 	549707 	527869 	547571 	544955 	554897 	538657 	516573 	514232 	532764 	482300 	451183 	428946 	383050 	: 	: 	: 	401781 	386768 	355378 	348746 	354619 	: 	: 	: 	: 	499668 
FOR,NR,I551,DEB2	331791 	323149 	340777 	343005 	330517 	331164 	345785 	337783 	329523 	328616 	327437 	315487 	304497 	270339 	257135 	: 	: 	: 	210716 	193810 	168542 	162161 	170029 	: 	: 	: 	: 	224859 
FOR,NR,I551,DEB3	427138 	411757 	400442 	391077 	406016 	404522 	390454 	386008 	359694 	386099 	369751 	395218 	389696 	388515 	354069 	: 	: 	: 	377598 	353750 	325247 	301903 	291275 	: 	: 	: 	: 	361616 
