c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I552,DE	2779763 	2649000 	2570708 	2521933 	2371810 	2284275 b	2103381 	2029903 	1851355 	1955692 	1778972 	1759181 	1628646 	1429836 	1302944 	1229126 	1216795 	1239137 	1159117 	1123135 	1134595 	1145889 	1112928 	877186 	206169 	231339 	255251 	1185034 
FOR,NR,I552,DK	591846 e	538308 e	452277 e	294616 e	306623 	317129 b	328509 	293554 	278260 	328183 	364618 	330750 	300520 	299642 	341004 	354738 	352632 	368349 	362391 	383560 	394584 	399918 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EA	40632307 e	36681604 	33670539 	: 	: 	: 	: 	: 	: 	22778538 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EE	204089 	186234 	163603 	166998 	141738 	126786 b	91837 	63983 	60876 	68015 	79946 	79681 	85416 	65501 	96994 	62865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EL	2863877 e	2464417 e	2551865 e	2320133 e	2082647 	1834465 be	2282349 	2088992 	2080205 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,ES	9245095 	8529543 	7487626 	7149321 	6564127 	6278109 b	6171217 	5563763 	5256716 	5907294 	6049094 	6609687 	6313659 	6516803 	7032370 	7265471 	7287461 	7894083 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EU27	: u	61118988 	56618472 	37851797 e	33599101 e	31354798 b	: 	: 	: 	24231191 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EU28	: u	66827087 	61427535 	42564935 e	37316692 e	34636521 b	: 	: 	: 	25741467 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,FI	186114 	133280 	147938 	176559 	172616 	149165 b	134353 	119324 	110446 	115846 	106203 	99329 	84260 	79730 	66198 	61508 	54374 	55434 	50120 	59447 	59607 	47702 	45278 	43355 	13780 	: 	: 	: 
FOR,NR,I552,FR	4395431 	4045608 	4301657 	4270998 	4462140 	4161503 b	4241967 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
