unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,EUR,CZ	51443.97 	: 	: 	54017.1 
THS_EUR,PERS,N1-3,EUR,DE	2243501.32 	: 	: 	2504563.44 
THS_EUR,PERS,N1-3,EUR,DK	: 	: 	: 	282287.89 
THS_EUR,PERS,N1-3,EUR,EE	42251.76 	: 	: 	7498.17 
THS_EUR,PERS,N1-3,EUR,EL	: 	: 	: 	26540.71 
THS_EUR,PERS,N1-3,EUR,ES	623885.95 	: 	: 	304751.91 
THS_EUR,PERS,N1-3,EUR,FI	328416.26 	: 	: 	340855.76 
THS_EUR,PERS,N1-3,EUR,FR	678862.68 	: 	: 	: 
THS_EUR,PERS,N1-3,EUR,HR	34538.35 	: 	: 	55046.24 
THS_EUR,PERS,N1-3,EUR,HU	256007.47 	: 	: 	169049.96 
THS_EUR,PERS,N1-3,EUR,IE	123283.54 	: 	: 	106999.1 
THS_EUR,PERS,N1-3,EUR,IT	385437.4 	: 	: 	199887.6 u
THS_EUR,PERS,N1-3,EUR,LT	6185.2 	: 	: 	3172.25 
THS_EUR,PERS,N1-3,EUR,LU	: 	: 	: 	13777.16 
THS_EUR,PERS,N1-3,EUR,LV	: 	: 	: 	8617.36 u
THS_EUR,PERS,N1-3,EUR,MT	4115.21 u	: 	: 	4444.32 u
THS_EUR,PERS,N1-3,EUR,NL	206022.21 	: 	: 	87034.43 
THS_EUR,PERS,N1-3,EUR,NO	293375.3 	295017.48 	: 	: 
THS_EUR,PERS,N1-3,EUR,PL	21112.44 	: 	: 	39940.51 
THS_EUR,PERS,N1-3,EUR,PT	20591.51 	: 	: 	51959.29 
THS_EUR,PERS,N1-3,EUR,RO	16530.87 	: 	: 	18535.32 
THS_EUR,PERS,N1-3,EUR,SI	24094.55 	: 	: 	25263.23 
THS_EUR,PERS,N1-3,EUR,SK	43544.31 u	: 	: 	44821.77 u
THS_EUR,PERS,N1-3,EUR_OTH,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,EUR_OTH,BG	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,DE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,ES	25458.07 u	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,FI	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EUR_OTH,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,EUR_OTH,HR	5427.24 u	: 	: 	7154.96 u
THS_EUR,PERS,N1-3,EUR_OTH,HU	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EUR_OTH,IT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,MT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EUR_OTH,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FI,AT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FI,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,FI,CH	: 	: 	: u	: 
THS_EUR,PERS,N1-3,FI,EE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FI,ES	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FI,FI	40705.26 u	: 	: 	42340.89 
THS_EUR,PERS,N1-3,FI,IE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,FI,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,FI,PT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,FI,SI	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FR,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,BE	14872.07 u	: 	: 	27463 u
THS_EUR,PERS,N1-3,FR,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,FR,CZ	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,ES	64964.61 u	: 	: 	28823.93 u
THS_EUR,PERS,N1-3,FR,FR	297176.61 	: 	: 	: 
THS_EUR,PERS,N1-3,FR,HR	: u	: 	: 	: u
THS_EUR,PERS,N1-3,FR,HU	2639.7 u	: 	: 	: u
THS_EUR,PERS,N1-3,FR,IE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,IT	: u	: 	: 	: u
THS_EUR,PERS,N1-3,FR,LT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FR,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FR,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FR,MT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,NL	16403.34 u	: 	: 	: u
THS_EUR,PERS,N1-3,FR,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,PT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,RO	: 	: 	: 	: u
THS_EUR,PERS,N1-3,FR,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,FR,SK	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HR,AT	36989.87 u	: 	: 	28621.94 u
THS_EUR,PERS,N1-3,HR,CZ	: c	: 	: 	: 
THS_EUR,PERS,N1-3,HR,DE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,HR,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,HR,HR	6741.49 u	: 	: 	14341.87 
THS_EUR,PERS,N1-3,HR,IT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HR,PL	: c	: 	: 	: 
THS_EUR,PERS,N1-3,HR,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HR,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HR,SK	: c	: 	: 	: 
THS_EUR,PERS,N1-3,HU,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,BE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HU,BG	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HU,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,HU,CZ	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,DE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,HU,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,HU,HR	: u	: 	: 	: u
THS_EUR,PERS,N1-3,HU,HU	8810.02 	: 	: 	7207.25 
THS_EUR,PERS,N1-3,HU,IE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,HU,PL	: c	: 	: 	1728.61 u
THS_EUR,PERS,N1-3,HU,RO	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,HU,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,IE,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,IE,DE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,IE,ES	: c	: 	: 	: 
THS_EUR,PERS,N1-3,IE,FI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,IE,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,IE,HU	: c	: 	: 	: 
THS_EUR,PERS,N1-3,IE,IE	53713.73 	: 	: 	54439.74 
THS_EUR,PERS,N1-3,IE,LT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,IE,NL	: c	: 	: 	: u
