unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	42264065.22 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	191024.59 	: 	: 	118488.01 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	: 	: 	214047.73 
THS_EUR,PERS,N1-3,DOM,TOTAL,ES	10298583.43 	: 	: 	6357128.08 
THS_EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	58347264.44 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	58545807.2 e
THS_EUR,PERS,N1-3,DOM,TOTAL,FI	2986597.16 	: 	: 	2838131.51 
THS_EUR,PERS,N1-3,DOM,TOTAL,FR	13613974.99 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,HR	: 	: 	: 	235661.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,HU	550419.97 	: 	: 	425073.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,IE	1007655.72 	: 	: 	763306.94 
THS_EUR,PERS,N1-3,DOM,TOTAL,IT	3789711.8 	: 	: 	2664743.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,LT	113377.99 	: 	: 	84394.8 
THS_EUR,PERS,N1-3,DOM,TOTAL,LU	: 	: 	: 	5610.72 
THS_EUR,PERS,N1-3,DOM,TOTAL,LV	: 	87553.23 	: 	87922.42 
THS_EUR,PERS,N1-3,DOM,TOTAL,MT	30590.96 	30276.51 	23404.06 	17665.57 
THS_EUR,PERS,N1-3,DOM,TOTAL,NL	1447982.14 	: 	: 	1212119.69 
THS_EUR,PERS,N1-3,DOM,TOTAL,NO	2246129.42 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	1859631.79 	: 	: 	1153214.2 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	703420.78 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	820711.11 	: 	: 	632149.61 
THS_EUR,PERS,N1-3,DOM,TOTAL,SE	: 	: 	: 	1878830.75 
THS_EUR,PERS,N1-3,DOM,TOTAL,SI	93663.85 	: 	: 	99678.5 
THS_EUR,PERS,N1-3,DOM,TOTAL,SK	521409.95 	: 	: 	274000.48 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,AT	47062.63 	: 	: 	34053.82 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,BE	15703.92 bu	: 	: 	6816.05 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,BG	3613.22 u	: 	: 	5630.83 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,CY	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,CZ	9885 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,DE	686701.19 	: 	: 	677436.88 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,DK	: 	: 	: 	317114.84 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,EA	: 	: 	: 	4099320.08 e
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,EE	3652.23 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,EL	: 	: 	: 	25441.62 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,ES	481569.71 	: 	: 	257081.8 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,EU27	: 	: 	: 	5356104.71 e
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,EU28	: 	: 	: 	5364677.16 e
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,FI	70751.31 	: 	: 	55428.16 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,FR	6870585.37 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,HR	: 	: 	: 	13194.22 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,HU	8394.72 	: 	: 	6077.97 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,IE	8636.9 u	: 	: 	7851.11 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,IT	317877.87 	: 	: 	148135.94 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,LT	: 	: 	: 	780.94 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,NL	17465.58 u	: 	: 	10333.02 u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,PL	6175.9 u	: 	: 	14976.77 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,PT	15133.38 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,RO	6548.42 	: 	: 	7182.57 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,SE	: 	: 	: 	221096.8 
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_TO_TA,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,AT	159704.87 	: 	: 	95850.39 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,BE	41011.63 b	: 	: 	30938.16 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,BG	1843.35 u	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,CH	: 	: 	47628.31 u	41102.65 u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,CY	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,CZ	36924.39 	: 	: 	6847.61 u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,DE	2706652.33 	: 	: 	2390320.51 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,DK	: 	: 	: 	2271267.5 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,EA	: 	: 	: 	5387626.38 e
THS_EUR,PERS,N1-3,DOM,TRA_WEB,EE	13890.37 	: 	: 	8713.06 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,EL	: 	: 	: 	11602.09 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,ES	1229414.67 	: 	: 	72153.71 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,EU27	: 	: 	: 	9405950.97 e
THS_EUR,PERS,N1-3,DOM,TRA_WEB,EU28	: 	: 	: 	9398809.69 e
THS_EUR,PERS,N1-3,DOM,TRA_WEB,FI	580471.43 	: 	: 	367076.49 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,FR	2037637.68 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,HR	: 	: 	: 	3767.31 u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,HU	41537.78 	: 	: 	16155.42 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,IE	81224.59 	: 	: 	65267.04 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,IT	686349.54 	: 	: 	330494.82 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,LT	408.8 u	: 	: 	1619.72 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,NL	24192.59 	: 	: 	16877.74 u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,PL	69485.72 	: 	: 	20466.96 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,PT	32513.97 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,RO	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,SE	: 	: 	: 	530304.11 
THS_EUR,PERS,N1-3,DOM,TRA_WEB,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TRA_WEB,SK	: c	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,AT	515500.8 	: 	: 	447084.17 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,BE	114573.52 b	: 	: 	153236.75 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,BG	17846.16 	: 	: 	13122.36 u
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,CH	: 	: 	357236.72 	222389.14 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,CY	76024.96 	: 	: 	41470.51 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,CZ	43784.33 	: 	: 	55709.15 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,DE	618150.26 	: 	: 	667693.27 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,DK	: 	: 	: 	36396.29 u
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,EA	: 	: 	: 	4247357.26 e
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,EE	35599.04 	: 	: 	7428.43 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,EL	: 	: 	: 	10678.59 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,ES	733652.45 	: 	: 	147464.89 
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,EU27	: 	: 	: 	5687401.56 e
THS_EUR,PERS,N1-3,OUT,ACC_TO_TA,EU28	: 	: 	: 	5734368.07 e
