unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,BE,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,BE,BG	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BE,CH	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CY	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,CZ	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,DE	: c	: u	: u	: u	159392.95 u	: u
THS_EUR,PERS,N1-3,BE,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,EE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,EL	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,ES	39901.39 u	32519.44 u	25120.38 bu	19954.42 u	21973.44 	17943.93 u
THS_EUR,PERS,N1-3,BE,FI	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,FR	211884.09 	191557.02 	224271.71 	260501.94 	207370.32 	182145.13 
THS_EUR,PERS,N1-3,BE,HR	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,HU	12605.68 u	10012.94 u	8904.68 u	4546.23 u	3648.92 u	4093.32 u
THS_EUR,PERS,N1-3,BE,IE	11662.07 u	20129.19 u	18208.61 u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,IT	: u	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LT	: c	: u	1315.71 	: u	: u	: u
THS_EUR,PERS,N1-3,BE,LU	: 	15344.17 	22456.2 	24266.28 	17283.64 	15292.82 
THS_EUR,PERS,N1-3,BE,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,MT	: c	: c	: c	: u	762.26 u	823.99 u
THS_EUR,PERS,N1-3,BE,NL	174538.92 	93737.46 	110447.6 	121682.75 	138075.53 	140209.77 
THS_EUR,PERS,N1-3,BE,NO	: u	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,BE,PL	5461.89 u	4575.02 u	11892.88 u	5322.3 bu	: u	: u
THS_EUR,PERS,N1-3,BE,PT	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,BE,RO	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BE,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BE,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BE,SK	: c	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BE,UK	: 	: 	: 	: 	174952.35 	139761.05 
THS_EUR,PERS,N1-3,BG,AT	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,BE	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,BG,CY	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,BG,CZ	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DE	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,DK	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,BG,EL	: 	3629.94 u	2156.86 u	2785.65 u	: u	: u
THS_EUR,PERS,N1-3,BG,ES	: c	: 	: u	: 	: u	: 
