unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N1-3,WORLD,BG	210228.12 	144843.99 	131501.03 	196440.29 	163238.94 	144286.15 b	345552 	390465 	506328 	332242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,CH	: 	2502259.12 	2596838.52 	2095009.09 	2492290.19 	1809559.11 	1852031 	1481654 	1719036 	1741212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,CY	262364.43 	209991.74 	183277.38 	181676.21 	170387.73 	132819.7 b	112358 	112669 	: 	405858 	390588 	29218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,CZ	1034909.33 	938130.41 	816407.31 	770650.66 	748339.93 	759841.62 	834124 	626657 	769242 	952337 	703656 	643904 	605546 	534438 	628447 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,DE	18456146.35 	18664335.95 	19098832.67 	17069633.52 	19628059.22 	18795405.62 	18976060 	19359000 	18587290 	17506900 	16470000 	6482890 	6179236 	5730000 	9337000 	7791000 	3884796 	3473559 	6574549 	4524079 	3384936 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,DK	: 	4362534.49 	4164629.82 	4592340.4 b	4158199.01 b	2064773.3 	2368208 	2585066 	1828600 	1616071 	812686 	854393 	547373 	445974 	710499 	517958 	486938 	486824 	464108 	488699 	425731 	464961 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,EA	: 	: 	: 	55532262.95 e	57362234.1 e	57781652.23 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,EE	285680.36 	259265.07 	230626.2 	202183.93 	155946.14 	137855.23 	140643 	121777 	74943 	48014 	43883 	95316 	85912 	47596 	42308 	31751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,EL	: 	223495.93 	239340.1 	246087.49 	189852.68 	295623.65 	497144 	589466 	797352 	780388 	826785 	: 	: 	: 	: 	: 	: 	: 	: 	150752 	211727 	331269 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,ES	11691996.7 	10482279.01 	9561197.49 b	7187287.42 	7092089.68 	7048765.86 	6810594 	6509629 	6755009 	6463475 	5766831 	6702643 	7240360 	4671410 	4520795 	3856738 	3870330 	3534039 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,EU27	: 	: 	83107892.55 e	76642420.66 e	81445045.29 e	79798034.61 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,EU28	: 	: 	83428425.43 e	77039821.66 e	81952725.22 e	80213133.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,FI	4550985.18 	4319730.08 	4339731.91 	4185370.39 	4560853.76 	4705258.59 b	3987000 	3895000 	3370000 	3267000 	3041000 	2906000 	2960000 	2733000 	2614000 	2314000 	2330075 	2645596 	1007782 	1102547 	1148831 	1032983 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,FR	15886378.06 	13162076.35 	13355396.71 	14640858.74 	14012985.77 	14182238.53 b	12710831 	11548020 	11464206 	20894000 	25215000 	23886000 	23080000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,HR	316593.87 	253824.04 	368656.29 	428973.45 	511141.37 	419999.05 	482934 	438556 	399201 	460365 	334449 	: 	: 	441558 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,HU	1003953.27 	874663.33 	750259.38 	710436.95 	607176.06 	616028.89 	702925 	654919 	579342 	755004 	751446 	666087 	616984 	438457 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,IE	1802841.09 	1504211.35 	1515294.84 	1313876.88 	1211614.64 	1212260.72 	1083200 	1154800 	987000 	1276000 	1242700 	1107700 	792800 	622000 	568800 	499700 	414600 	450757 	445094 	432435 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,IT	4996462.43 	4952827.93 	4091731.86 	3355843.13 b	3593741.54 	4733364.27 	4700152 	5620340 	6685812 	7177992 	6110240 	5771894 	5403208 	4506310 	4318440 	4238229 	3715769 	3628657 	3647049 	4131158 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,LT	184236.57 	176677.42 	172869.57 	157179.41 	138228.04 	140520.2 	123714 	115324 	128943 	193457 	153284 	139518 	107895 	88490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,LU	: 	161744.23 	209375.21 	213323.03 	160358.07 	147125.66 	172700 	156090 	176630 	134910 	: 	396203 	350298 	357361 	306607 	305211 	137380 	127638 	104194 	86625 	88379 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,LV	: 	156405.27 	169572.5 	140693.32 	153580.98 	166568.47 	164043 	147331 	141953 	180284 	172758 	137978 	119201 	: 	60784 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
