unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,WORLD,RO	11147282 	10597470 	10146026 	10331810 	10401100 	9704733 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SE	: 	22926968 	23254985 	20764611 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SI	2693797 	2322693 	2225445 	2579844 	2676826 	2490441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SK	5483276 	4939045 	3814796 	3485754 	2986815 b	2322293 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,UK	: 	: 	: 	: 	72245586 	73161030 	: 	: 	: 	: 	: 	: 	: 	: 	65680000 	72600000 	71800000 	74600000 	45500000 	39000000 	41100000 	: 	: 	: 
NR,PERS,N_GE1,DOM,AT	9848564 	10063508 	9197692 	9573164 	9682051 	9015192 	: 	: 	: 	: 	: 	8086311 	: 	6403275 	6904459 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,BE	2950834 b	2820302 	3133218 	2202277 	2574641 	2485447 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,BG	4570877 	2874771 	2430637 	3012004 	3259295 	3006110 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,CH	: 	5986118 	6068426 	6312438 	6820128 	6225061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,CY	1383643 	1359130 	1281176 	1272010 	1263806 	1336115 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,CZ	28156048 	26055631 	23287272 	26196815 	24304012 	25986952 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,DE	121708947 	132778475 	135503132 	123741073 	130818258 	130076882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
