purpose,wstatus,duration,unit,geo\time	2016 	2013 
OTH,ACT_INAC,N_GE1,NR,SI	23482 	16797 e
OTH,ACT_INAC,N_GE1,NR,SK	105758 	331384 
OTH,ACT_INAC,N_GE1,NR,UK	973420 	1905700 
OTH,EDUC,N_GE1,NR,EA	: u	: u
OTH,EDUC,N_GE1,NR,ES	98437 u	: 
OTH,EDUC,N_GE1,NR,EU27	: u	: u
OTH,EDUC,N_GE1,NR,EU28	: u	: u
OTH,EDUC,N_GE1,NR,FI	: c	0 u
OTH,EDUC,N_GE1,NR,HR	: 	19140 
OTH,EDUC,N_GE1,NR,LU	: 	1617 
OTH,EDUC,N_GE1,NR,LV	447 	: 
OTH,EDUC,N_GE1,NR,NL	9492 	5449 
OTH,EDUC,N_GE1,NR,SI	1236 u	1667 u
OTH,EMP,N_GE1,NR,EA	: u	: u
OTH,EMP,N_GE1,NR,ES	274367 	: 
OTH,EMP,N_GE1,NR,EU27	: u	: u
OTH,EMP,N_GE1,NR,EU28	: u	: u
OTH,EMP,N_GE1,NR,FI	: c	27337 u
OTH,EMP,N_GE1,NR,HR	: 	35471 
OTH,EMP,N_GE1,NR,LU	: 	3014 
OTH,EMP,N_GE1,NR,LV	8681 	: 
OTH,EMP,N_GE1,NR,NL	163071 	149553 
OTH,EMP,N_GE1,NR,SI	4891 u	2816 u
OTH,INAC_OTH,N_GE1,NR,EA	: u	: u
OTH,INAC_OTH,N_GE1,NR,ES	257631 	: 
