c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551-I553,TOTAL,IS	: 	6764038 	5605634 	4404834 	3366252 	2873790 
FOR,NR,I551-I553,TOTAL,IT	210658786 	199421814 	192607930 	186792507 	184793382 	180594988 
FOR,NR,I551-I553,TOTAL,LI	146892 	127747 	110465 	130202 	132491 	136276 b
FOR,NR,I551-I553,TOTAL,LT	3431233 	3273420 	3010727 	3033826 	2906201 	2680048 b
FOR,NR,I551-I553,TOTAL,LU	2573589 	2637701 	2655733 	2513585 	2313124 	2298068 b
FOR,NR,I551-I553,TOTAL,LV	3406527 	3044532 	2873885 	2875934 	2639434 	2429093 b
FOR,NR,I551-I553,TOTAL,ME	: 	10528475 	10307371 	: 	: 	8143007 b
FOR,NR,I551-I553,TOTAL,MK	1289111 	1050917 	1020943 	900148 	864125 	794564 
FOR,NR,I551-I553,TOTAL,MT	9184162 	8622438 	8542055 	8428215 	8172407 	7498421 
FOR,NR,I551-I553,TOTAL,NL	44169041 	39623541 	37297588 	34423552 	31770508 b	27845942 
FOR,NR,I551-I553,TOTAL,NO	: 	9672993 	8851422 	8451333 	7693241 	7940468 
FOR,NR,I551-I553,TOTAL,PL	16705215 	15579225 	13757657 	12992241 	12471268 	11876599 
FOR,NR,I551-I553,TOTAL,PT	48884842 	43959295 	38897329 	35630345 	32078773 	29033970 
FOR,NR,I551-I553,TOTAL,RO	5267970 	4812050 	4460017 	3762465 	3471152 	3291504 b
FOR,NR,I551-I553,TOTAL,RS	: 	2735528 	2402065 	2074680 	1879208 	1766627 
FOR,NR,I551-I553,TOTAL,SE	14638702 	13997265 	13612924 	12260712 	11442690 	11299455 
FOR,NR,I551-I553,TOTAL,SI	8478019 	7252070 	6529086 	6004623 	5887862 	5702306 b
FOR,NR,I551-I553,TOTAL,SK	5316945 	5038214 	4384800 	3852147 	4277598 	4039410 
FOR,NR,I551-I553,TOTAL,TR	: 	65793316 	96400316 	97581075 	89594261 	: 
FOR,NR,I551-I553,TOTAL,UK	: 	279453071 	275650028 	: 	: 	105455528 b
FOR,NR,I552,CST_A,AT	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,BE	1144104 	1117194 	: c	: 	740003 	741480 
FOR,NR,I552,CST_A,BG	272975 	196798 	174146 	231791 	307676 	223198 
FOR,NR,I552,CST_A,CH	: 	0 	: 	: 	: 	: 
FOR,NR,I552,CST_A,CY	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,CZ	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,DE	796056 	762672 	772339 	754038 	705374 	595492 
FOR,NR,I552,CST_A,DK	1918603 	1782450 	1592452 	1092892 	1088011 	1161408 
FOR,NR,I552,CST_A,EA	115390249 e	106560198 	101068849 	: 	: 	: 
FOR,NR,I552,CST_A,EE	383926 	370034 	333474 	331490 	304802 	264562 
FOR,NR,I552,CST_A,EL	14575228 e	12982429 e	13585407 e	12798081 e	11063531 	9827259 be
FOR,NR,I552,CST_A,ES	58471789 	56264359 	51725958 	51094413 	49529969 	48043176 
FOR,NR,I552,CST_A,EU27	: u	157714431 	151335662 	113852410 e	103856738 e	98364809 e
FOR,NR,I552,CST_A,EU28	: u	189961712 	179120903 	142453523 e	127356320 e	120208744 e
FOR,NR,I552,CST_A,FI	206137 	122607 	166143 	164167 	160016 	141341 
FOR,NR,I552,CST_A,FR	4386780 	4558388 	5273540 	5571683 	5645670 	4967111 
FOR,NR,I552,CST_A,HR	37304532 	32247281 	27785241 	25089887 	23499582 	21747855 
FOR,NR,I552,CST_A,HU	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,IE	: 	1948264 e	1585563 e	1605404 e	1279187 	: 
FOR,NR,I552,CST_A,IS	: 	1339711 	1289453 	998650 	698913 	527975 
FOR,NR,I552,CST_A,IT	22497639 	19250576 	18367535 	15999208 	15667772 	15541793 
FOR,NR,I552,CST_A,LI	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,LT	101174 	111401 	73121 	102185 	91433 	85438 
FOR,NR,I552,CST_A,LU	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,LV	363768 	274300 	236081 	234378 	230545 	188594 
FOR,NR,I552,CST_A,ME	: 	7565323 	7630755 	: 	: 	5481744 
FOR,NR,I552,CST_A,MK	0 	0 	0 	0 	: 	: 
FOR,NR,I552,CST_A,MT	267150 	267973 	239707 	245851 	232058 	154168 
FOR,NR,I552,CST_A,NL	6857832 	6415841 	6242716 	5720855 	5188268 b	4130054 
FOR,NR,I552,CST_A,NO	: 	846591 	802858 	861790 	760551 	472367 
FOR,NR,I552,CST_A,PL	1185615 	1073154 	1051397 	1082583 	1092180 	1138372 
FOR,NR,I552,CST_A,PT	3048086 	1910068 	1198766 	614029 	485129 b	117397 
FOR,NR,I552,CST_A,RO	2328 	2072 	12456 	2686 	5069 	5076 
FOR,NR,I552,CST_A,RS	: 	0 	0 	0 	0 	: 
FOR,NR,I552,CST_A,SE	883594 	787676 	724144 	687746 	613820 	625371 
FOR,NR,I552,CST_A,SI	260324 	204092 	168162 	142913 	132447 	126289 
FOR,NR,I552,CST_A,SK	0 	0 	0 	0 	0 	0 
FOR,NR,I552,CST_A,UK	: 	47312083 	46712218 	: 	: 	9293778 
FOR,NR,I552,NCST_A,AT	14537053 	13640221 	12730440 	12269164 	12022857 	11565819 
FOR,NR,I552,NCST_A,BE	4265170 	4126420 	: c	: 	2713350 	2624328 
FOR,NR,I552,NCST_A,BG	96705 	85823 	80226 	76386 	60940 	56977 
FOR,NR,I552,NCST_A,CH	: 	3727081 	: 	: 	: 	: 
FOR,NR,I552,NCST_A,CY	0 	0 	0 	0 	0 	0 
FOR,NR,I552,NCST_A,CZ	2177771 	2044693 	1983840 	1856540 	1771892 	1568197 
FOR,NR,I552,NCST_A,DE	9383694 	9024285 	8779311 	8557644 	8047417 	7936300 
FOR,NR,I552,NCST_A,DK	382669 	400754 	347636 	319046 	314664 	299034 
FOR,NR,I552,NCST_A,EA	79935207 e	75389794 	71719705 	: 	: 	: 
FOR,NR,I552,NCST_A,EE	102697 	85194 	68782 	72133 	67649 	59794 
FOR,NR,I552,NCST_A,EL	364326 e	315880 e	304021 e	218411 e	183378 	132226 be
FOR,NR,I552,NCST_A,ES	3944138 	3567517 	3036309 	2614175 	2094240 	2016789 
FOR,NR,I552,NCST_A,EU27	: u	223270229 	217342191 	83200403 e	99028592 e	96369785 e
FOR,NR,I552,NCST_A,EU28	: u	225177662 	218710639 	84235987 e	99807376 e	96895284 e
FOR,NR,I552,NCST_A,FI	488777 	373106 	347130 	409051 	424903 	352386 
FOR,NR,I552,NCST_A,FR	13918097 	13172005 	14690201 	15172149 	15718491 	15823790 
FOR,NR,I552,NCST_A,HR	2075392 	1907433 	1368448 	993323 	778784 	620575 
FOR,NR,I552,NCST_A,HU	1022355 	928924 	757508 	628604 	540756 	397617 
FOR,NR,I552,NCST_A,IE	: 	808612 e	613896 e	582472 e	515666 	: 
FOR,NR,I552,NCST_A,IS	: 	187434 	124891 	87617 	74077 	52239 
FOR,NR,I552,NCST_A,IT	23472006 	21491054 	19272569 	18070052 	17437252 	16609860 
FOR,NR,I552,NCST_A,LI	18888 	18501 	18624 	19650 	18993 	23347 
FOR,NR,I552,NCST_A,LT	769471 	696910 	656399 	649601 	613204 	565423 
FOR,NR,I552,NCST_A,LU	193741 	166352 	180518 	168538 	148375 	170982 
