c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NAT,NR,100-249,HR	865508 	905012 	884471 	793533 	798449 	843409 
NAT,NR,100-249,HU	3181255 	3093800 	2934141 	2820127 	: 	: 
NAT,NR,100-249,IS	: 	97360 	109537 	174482 	156868 	104003 
NAT,NR,100-249,LT	468641 	394910 	387904 	366287 	372255 	374819 
NAT,NR,100-249,LV	323666 	317901 	295621 	: c	228184 	: c
NAT,NR,100-249,ME	: 	69843 	: 	: 	: 	: 
NAT,NR,100-249,MT	107560 	96733 	96981 	105078 	93498 	69961 
NAT,NR,100-249,NO	: 	7414837 	7283840 	7092456 	7019342 	6782418 
NAT,NR,100-249,PL	884716 	842003 	742636 	623577 	570972 	481227 
NAT,NR,100-249,RO	: 	: 	: 	1321122 	1310537 	1235105 
NAT,NR,100-249,SE	12056554 	11975601 	11190586 	10483289 	10114595 	9795642 
NAT,NR,100-249,UK	: 	11220483 	10660081 	: 	: 	: 
NAT,NR,25-99,BG	2143409 	2135390 	1869683 	1865702 	1737745 	1602123 
NAT,NR,25-99,CY	321738 	323498 	278629 	273314 	: 	: 
NAT,NR,25-99,CZ	6361677 	6790992 	6251767 	4848508 	4649766 	4697556 
NAT,NR,25-99,DE	90499145 	88560926 	85718994 	83368480 	81530614 	81799796 
NAT,NR,25-99,EA	: u	: u	: u	: 	: 	: 
NAT,NR,25-99,EL	7622008 	7355253 	6965625 	6856016 	6781461 	6621367 
NAT,NR,25-99,ES	39825601 	37966203 	36345978 	34100064 	32406308 	32971874 
NAT,NR,25-99,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,25-99,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,25-99,HR	608307 	585335 	566833 	555460 	600852 	585412 
NAT,NR,25-99,HU	4928727 	4617449 	4324487 	3932012 	: 	: 
NAT,NR,25-99,IS	: 	336448 	252540 	174840 	176852 	207443 
NAT,NR,25-99,LT	741235 	684311 	643768 	594132 	518499 	508214 
NAT,NR,25-99,LV	331818 	317514 	308512 	326293 	253264 	249200 
