unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,OUT,DUR,ES	0.4 	1.59 b	0.23 	1.17 	5.23 
EUR,PERS,N1-3,OUT,DUR,EU27	: 	8.05 	4.19 e	10.21 	12.5 
EUR,PERS,N1-3,OUT,DUR,EU28	: 	7.92 	4.12 e	10.06 	12.32 
EUR,PERS,N1-3,OUT,DUR,FI	4.18 	17.87 	5.3 	17.14 	3.88 
EUR,PERS,N1-3,OUT,DUR,FR	3.79 	4.52 	2.01 	2.52 	4.31 
EUR,PERS,N1-3,OUT,DUR,HR	0 	0 	0 	0.68 	1.83 
EUR,PERS,N1-3,OUT,DUR,HU	4.91 	5.03 	3.59 	2.31 	3.57 
EUR,PERS,N1-3,OUT,DUR,IE	2.53 	4.71 	3.22 	2.28 	3.77 
EUR,PERS,N1-3,OUT,DUR,IT	0 	0 	1.15 b	0 	0.11 
EUR,PERS,N1-3,OUT,DUR,LT	7.56 	2.61 	0 	0.1 	12.62 
EUR,PERS,N1-3,OUT,DUR,LU	0.37 	0.45 	2.72 	0.46 	0.96 
EUR,PERS,N1-3,OUT,DUR,LV	2.19 	0 	0.55 	0.95 	7.78 
EUR,PERS,N1-3,OUT,DUR,MT	8.47 	29.65 	39.87 b	0 	0 
EUR,PERS,N1-3,OUT,DUR,NL	1.61 	0.06 	0.29 	9.12 	8.9 
EUR,PERS,N1-3,OUT,DUR,PL	5.05 	6.13 	3.8 b	5.5 	8.16 
EUR,PERS,N1-3,OUT,DUR,PT	0.47 	0.25 	0 	1.68 	0.17 
EUR,PERS,N1-3,OUT,DUR,RO	0.51 	0.97 	2.48 	0 	0 
EUR,PERS,N1-3,OUT,DUR,SE	0 	0 	0 	: 	: 
EUR,PERS,N1-3,OUT,DUR,SI	0.02 	0.04 	0 	0.13 	0.26 
EUR,PERS,N1-3,OUT,DUR,SK	0.6 	0.69 	0.34 	1.04 b	11.63 
EUR,PERS,N1-3,OUT,DUR,UK	: 	: 	: 	6.19 	53.8 
EUR,PERS,N1-3,OUT,OTH,AT	57.83 	57.95 	59.72 	49.23 	43.2 
EUR,PERS,N1-3,OUT,OTH,BE	15.96 	46.3 	45.99 	49.07 	39.55 
EUR,PERS,N1-3,OUT,OTH,BG	18.74 	10.09 	8.77 	13.16 	19.46 
EUR,PERS,N1-3,OUT,OTH,CH	29.56 	32.14 	25.58 	30.59 	28.14 
EUR,PERS,N1-3,OUT,OTH,CY	62.91 	46.46 	37.48 	25.18 	30.88 
EUR,PERS,N1-3,OUT,OTH,CZ	21.1 	22.47 	19.63 	22 	21.43 
EUR,PERS,N1-3,OUT,OTH,DE	38.07 	50.82 	34.59 	40.71 	34.93 
EUR,PERS,N1-3,OUT,OTH,DK	65.04 	61.92 	57.39 b	57.43 b	44.7 
EUR,PERS,N1-3,OUT,OTH,EA	: 	: 	38.18 e	40.85 	38.07 
EUR,PERS,N1-3,OUT,OTH,EE	27.85 	25.43 	16.7 	17.34 	9.34 
EUR,PERS,N1-3,OUT,OTH,EL	18.4 	27.07 	19.47 	15.71 	8.93 
EUR,PERS,N1-3,OUT,OTH,ES	28.62 	25.94 b	34.8 	42.34 	37.96 
EUR,PERS,N1-3,OUT,OTH,EU27	: 	44.42 	38.55 e	36.81 	35.05 
EUR,PERS,N1-3,OUT,OTH,EU28	: 	44.1 	38.27 e	36.92 	34.74 
EUR,PERS,N1-3,OUT,OTH,FI	64.79 	60.11 	67.49 	75.15 	74.68 
