unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,OUT,ACC,IE	92.74 	108.71 	96.85 	88.51 	88.6 
EUR,PERS,N1-3,OUT,ACC,IT	128.87 	87.22 	74.38 b	109.02 	84.87 
EUR,PERS,N1-3,OUT,ACC,LT	36.14 	43.58 	30.06 	27.37 	25.38 
EUR,PERS,N1-3,OUT,ACC,LU	102.39 	107.55 	90.73 	81.95 	84.81 
EUR,PERS,N1-3,OUT,ACC,LV	38.91 	46.69 	33.94 	33.63 	21.72 
EUR,PERS,N1-3,OUT,ACC,MT	137.28 	150.31 	144.6 b	108.22 	119.13 
EUR,PERS,N1-3,OUT,ACC,NL	77.51 	73.21 	70.2 	83.65 	90.94 
EUR,PERS,N1-3,OUT,ACC,PL	55.84 	57.68 	45.09 b	79.4 	70.26 
EUR,PERS,N1-3,OUT,ACC,PT	68.88 	59.44 	68.52 	62.44 	60.76 
EUR,PERS,N1-3,OUT,ACC,RO	69.02 	59.71 	69.67 	77.43 	83.67 
EUR,PERS,N1-3,OUT,ACC,SE	102.67 	97.78 	61.73 	: 	: 
EUR,PERS,N1-3,OUT,ACC,SI	36.51 	38.82 	27.7 	28.92 	28.51 
EUR,PERS,N1-3,OUT,ACC,SK	51.36 	54.24 	33.94 	49.76 b	40.34 
EUR,PERS,N1-3,OUT,ACC,UK	: 	: 	: 	172.86 	154.84 
EUR,PERS,N1-3,OUT,DUR,AT	7.95 	11.36 	17.08 	5.9 	0.83 
EUR,PERS,N1-3,OUT,DUR,BE	5.76 	11.57 	13.17 	16.79 	15.39 
EUR,PERS,N1-3,OUT,DUR,BG	0 	0 	0 	0 	0 
EUR,PERS,N1-3,OUT,DUR,CH	7.69 	12.81 	11.42 	: 	: 
EUR,PERS,N1-3,OUT,DUR,CY	0 	0 	0.46 	9.32 	4.19 
EUR,PERS,N1-3,OUT,DUR,CZ	0 	0 	0.23 	0 	2.96 
EUR,PERS,N1-3,OUT,DUR,DE	25.73 	37.23 	14.01 	52.76 	19.18 
EUR,PERS,N1-3,OUT,DUR,DK	42.17 	41.11 	36.12 b	38.65 b	32.86 
EUR,PERS,N1-3,OUT,DUR,EA	: 	: 	8.89 e	26.01 	12.6 
EUR,PERS,N1-3,OUT,DUR,EE	1.23 	4.74 	15.46 	7.06 	14.26 
EUR,PERS,N1-3,OUT,DUR,EL	8.06 	0 	2.91 	0 	58.28 
EUR,PERS,N1-3,OUT,DUR,ES	0.91 	3.61 b	0.55 	2.74 	11.82 
EUR,PERS,N1-3,OUT,DUR,EU27	: 	17.88 	9.28 e	23.1 	28.43 
EUR,PERS,N1-3,OUT,DUR,EU28	: 	17.59 	9.1 e	22.72 	27.97 
EUR,PERS,N1-3,OUT,DUR,FI	7.85 	33.68 	9.87 	30.69 	7.3 
EUR,PERS,N1-3,OUT,DUR,FR	8.43 	9.97 	4.43 	5.55 	9.74 
EUR,PERS,N1-3,OUT,DUR,HR	0 	0 	0 	1.36 	3.72 
